id,换卡_count,POS消费_mean,卡充值_mean,POS消费_sum,POS消费_count,圈存转账_sum,POS消费_max,圈存转账_mean,POS消费_min,卡充值_sum,圈存转账_count,卡补办_sum,卡充值_count,支付领取_min,POS消费_median,卡片销户_min,卡补办_count,支付领取_sum,支付领取_count,圈存转账_min,卡充值_min,更新卡信息_max,卡挂失_count,卡补办_median,换卡_mean,换卡_sum,卡补办_max,换卡_min
36,0.0,2.97893045003,82.8571428571,5096.95,1711.0,4630.0,30.0,100.652173913,-6.3,580.0,46.0,100.0,7.0,0.0,2.5,0.0,1.0,0.0,0.0,20.0,30.0,0.0,2.0,100.0,0.0,0.0,100.0,0.0
37,0.0,3.74732824427,142.727272727,5890.8,1572.0,6750.0,33.8,132.352941176,-7.0,1570.0,51.0,51.98,11.0,0.0,3.0,36.98,1.0,0.0,0.0,10.0,20.0,0.0,1.0,51.98,0.0,0.0,51.98,0.0
40,0.0,3.98433108758,190.0,4139.72,1039.0,0.0,30.0,0.0,0.01,3800.0,0.0,0.0,20.0,100.0,3.0,0.0,0.0,100.0,1.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41,0.0,3.71667130919,98.1481481481,2668.57,718.0,0.0,30.0,0.0,-5.4,2650.0,0.0,31.61,27.0,100.0,2.8,16.61,1.0,100.0,1.0,0.0,50.0,0.0,0.0,31.61,0.0,0.0,31.61,0.0
42,0.0,2.94278892073,178.571428571,6162.2,2094.0,0.0,29.5,0.0,-22.0,6250.0,0.0,0.0,35.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
43,0.0,3.64,100.0,72.8,20.0,0.0,11.0,0.0,0.1,100.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
44,0.0,3.90240333586,119.111111111,5147.27,1319.0,0.0,30.0,0.0,-22.0,5360.0,0.0,0.0,45.0,0.0,3.6,0.0,0.0,0.0,0.0,0.0,50.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
45,1.0,4.44881456954,226.923076923,6717.71,1510.0,0.0,98.0,0.0,-4.7,2950.0,0.0,40.13,13.0,5.0,3.9,25.13,1.0,3735.0,21.0,0.0,150.0,204.0,2.0,40.13,0.0,0.0,40.13,0.0
50,1.0,3.70639958377,162.5,3561.85,961.0,0.0,31.35,0.0,-15.0,1300.0,0.0,250.0,8.0,5.0,3.1,0.0,2.0,1905.0,20.0,0.0,100.0,0.0,3.0,125.0,0.0,0.0,200.0,0.0
51,0.0,3.88792420327,95.1612903226,4513.88,1161.0,0.0,18.8,0.0,-3.48,2950.0,0.0,0.0,31.0,5.0,3.6,0.0,0.0,1555.0,17.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
52,2.0,5.14935530086,87.2,3594.25,698.0,0.0,30.0,0.0,0.01,2180.0,0.0,69.98,25.0,5.0,3.6,4.98,1.0,1155.0,14.0,0.0,50.0,0.0,3.0,69.98,0.0,0.0,69.98,0.0
53,0.0,4.19635352287,100.0,6789.7,1618.0,6950.0,30.0,182.894736842,-4.9,200.0,38.0,106.21,2.0,0.0,4.0,91.21,1.0,0.0,0.0,100.0,100.0,0.0,1.0,106.21,0.0,0.0,106.21,0.0
54,1.0,4.78042720139,120.0,5483.15,1147.0,0.0,30.0,0.0,-3.48,1200.0,0.0,302.9,10.0,5.0,4.1,31.1,3.0,4295.0,43.0,0.0,100.0,0.0,4.0,117.9,0.0,0.0,138.9,0.0
55,0.0,3.38384565075,100.0,5173.9,1529.0,5320.0,42.2,133.0,-3.3,200.0,40.0,0.0,2.0,0.0,3.0,0.0,0.0,0.0,0.0,30.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
56,0.0,5.50487804878,150.0,902.8,164.0,0.0,24.2,0.0,0.2,1200.0,0.0,0.0,8.0,0.0,4.6,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
57,0.0,5.02926829268,133.333333333,412.4,82.0,0.0,30.0,0.0,0.3,400.0,0.0,0.0,3.0,0.0,3.15,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
58,1.0,3.60980570735,200.0,5945.35,1647.0,5450.0,28.9,187.931034483,-3.54,600.0,29.0,19.31,3.0,200.0,2.1,4.31,1.0,200.0,1.0,50.0,200.0,0.0,1.0,19.31,0.0,0.0,19.31,0.0
59,0.0,3.5248372093,167.391304348,3789.2,1075.0,0.0,39.0,0.0,-3.54,3850.0,0.0,0.0,23.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
62,0.0,4.79758302583,100.0,2600.29,542.0,2550.0,33.2,141.666666667,-1.14,100.0,18.0,100.0,1.0,0.0,4.07,0.0,1.0,0.0,0.0,100.0,100.0,0.0,1.0,100.0,0.0,0.0,100.0,0.0
64,0.0,3.71648672566,125.0,4199.63,1130.0,1750.0,24.8,145.833333333,-4.1,2500.0,12.0,20.0,20.0,0.0,3.0,0.0,1.0,0.0,0.0,50.0,50.0,0.0,1.0,20.0,0.0,0.0,20.0,0.0
65,0.0,4.08554479419,0.0,3374.66,826.0,3200.0,31.7,188.235294118,-25.0,0.0,17.0,0.0,0.0,0.0,3.6,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
66,0.0,2.8822181552,75.0,3937.11,1366.0,4426.0,36.1,86.7843137255,-4.4,300.0,51.0,0.0,4.0,0.0,1.5,0.0,0.0,0.0,0.0,10.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
67,0.0,3.37970769231,86.6666666667,4393.62,1300.0,5074.0,30.0,90.6071428571,0.01,520.0,56.0,0.0,6.0,0.0,2.0,0.0,0.0,0.0,0.0,20.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
68,0.0,2.73869580925,203.143243243,7580.71,2768.0,0.0,57.7,0.0,-14.0,7516.3,0.0,0.0,37.0,0.0,2.3,1.3,0.0,0.0,0.0,0.0,16.3,0.0,1.0,0.0,0.0,0.0,0.0,0.0
69,0.0,1.9,900.0,17.1,9.0,0.0,5.2,0.0,0.2,900.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,900.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
70,0.0,5.03929778934,92.6829268293,3875.22,769.0,0.0,41.6,0.0,-12.6,3800.0,0.0,131.6,41.0,0.0,4.6,1.6,3.0,0.0,0.0,0.0,50.0,0.0,5.0,16.6,0.0,0.0,100.0,0.0
71,0.0,3.94509485095,83.3333333333,1455.74,369.0,0.0,24.3,0.0,-6.6,1250.0,0.0,83.77,15.0,0.0,3.0,1.29,2.0,0.0,0.0,0.0,50.0,0.0,1.0,41.885,0.0,0.0,67.48,0.0
74,0.0,3.30202932099,78.7037037037,4279.43,1296.0,0.0,36.2,0.0,-4.7,4250.0,0.0,56.0,54.0,0.0,3.0,41.0,1.0,0.0,0.0,0.0,20.0,0.0,1.0,56.0,0.0,0.0,56.0,0.0
75,0.0,3.21353758686,81.0810810811,5087.03,1583.0,0.0,35.54,0.0,0.01,3000.0,0.0,0.0,37.0,5.0,3.0,0.0,0.0,2115.0,29.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
76,0.0,5.69011727079,0.0,5337.33,938.0,6050.0,35.1,172.857142857,-2.94,0.0,35.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
77,0.0,7.77591803279,0.0,4743.31,610.0,5480.0,34.1,176.774193548,-3.42,0.0,31.0,20.0,0.0,0.0,5.5,0.0,1.0,0.0,0.0,80.0,0.0,0.0,1.0,20.0,0.0,0.0,20.0,0.0
78,0.0,4.87713438735,156.451612903,4935.66,1012.0,0.0,30.0,0.0,-1.8,4850.0,0.0,0.0,31.0,0.0,4.6,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
79,0.0,2.76376933896,200.0,1965.04,711.0,0.0,29.8,0.0,-5.1,600.0,0.0,0.0,3.0,5.0,2.0,0.0,0.0,1180.0,12.0,0.0,100.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
80,1.0,3.17274772036,180.0,5219.17,1645.0,0.0,30.0,0.0,-5.0,5400.0,0.0,0.0,30.0,0.0,2.3,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
81,0.0,3.84826368876,94.2307692308,5341.39,1388.0,0.0,56.4,0.0,-27.4,4900.0,0.0,120.0,52.0,100.0,2.5,0.0,1.0,100.0,1.0,0.0,20.0,0.0,1.0,120.0,0.0,0.0,120.0,0.0
82,0.0,2.63310935441,104.545454545,1998.53,759.0,800.0,30.0,100.0,0.01,1150.0,8.0,39.05,11.0,0.0,1.6,24.05,1.0,0.0,0.0,100.0,50.0,0.0,1.0,39.05,0.0,0.0,39.05,0.0
83,0.0,4.24649805447,200.0,2182.7,514.0,1920.0,40.0,101.052631579,-3.54,400.0,19.0,115.15,2.0,0.0,3.0,100.15,1.0,0.0,0.0,20.0,200.0,0.0,1.0,115.15,0.0,0.0,115.15,0.0
84,1.0,4.351276901,112.0,3032.84,697.0,0.0,30.0,0.0,-2.94,2800.0,0.0,0.0,25.0,0.0,3.5,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
85,0.0,2.57901408451,357.142857143,4394.64,1704.0,0.0,50.3,0.0,-10.4,5000.0,0.0,0.0,14.0,0.0,1.83,0.0,0.0,0.0,0.0,0.0,200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
86,1.0,3.90972829689,113.0,5899.78,1509.0,0.0,36.8,0.0,-9.1,5650.0,0.0,0.0,50.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
87,0.0,9.70384615385,500.0,126.15,13.0,0.0,56.2,0.0,0.05,500.0,0.0,0.0,1.0,0.0,5.6,0.0,0.0,0.0,0.0,0.0,500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
88,0.0,4.96910211268,101.724137931,5644.9,1136.0,0.0,30.0,0.0,0.01,5900.0,0.0,0.0,58.0,0.0,4.6,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
89,0.0,4.67493624772,100.0,2566.54,549.0,0.0,26.1,0.0,0.01,2600.0,0.0,0.0,26.0,0.0,4.3,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
92,0.0,3.46606818182,169.444444444,3050.14,880.0,0.0,30.0,0.0,-4.0,3050.0,0.0,0.0,18.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
93,0.0,4.09498588899,272.222222222,4352.97,1063.0,0.0,36.0,0.0,-4.2,4900.0,0.0,163.37,18.0,0.0,3.6,48.37,1.0,0.0,0.0,0.0,100.0,0.0,1.0,163.37,0.0,0.0,163.37,0.0
94,0.0,2.21406858202,94.6,4777.96,2158.0,0.0,22.7,0.0,-5.8,4730.0,0.0,0.0,50.0,0.0,1.2,0.0,0.0,0.0,0.0,0.0,10.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
95,0.0,3.62787822878,100.0,3932.62,1084.0,3200.0,45.2,106.666666667,-6.2,500.0,30.0,0.0,5.0,100.0,3.0,0.0,0.0,400.0,4.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
98,0.0,3.48487623762,151.851851852,4223.67,1212.0,0.0,30.0,0.0,0.01,4100.0,0.0,54.44,27.0,0.0,4.0,39.44,1.0,0.0,0.0,0.0,50.0,0.0,1.0,54.44,0.0,0.0,54.44,0.0
99,0.0,3.57057040998,168.0,4006.18,1122.0,0.0,62.1,0.0,-1.8,4200.0,0.0,0.0,25.0,0.0,3.1,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
106,0.0,8.00093023256,325.0,688.08,86.0,0.0,100.0,0.0,-3.54,1300.0,0.0,0.0,4.0,0.0,3.6,0.0,0.0,0.0,0.0,0.0,200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
107,0.0,3.706875,0.0,59.31,16.0,0.0,10.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,3.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
112,0.0,3.91465116279,90.9090909091,3029.94,774.0,1950.0,30.0,102.631578947,-10.0,1000.0,19.0,0.0,11.0,0.0,3.1,0.0,0.0,0.0,0.0,50.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
113,0.0,4.05288679245,100.0,2148.03,530.0,1850.0,63.9,88.0952380952,0.01,200.0,21.0,0.0,2.0,0.0,3.58,0.0,0.0,0.0,0.0,50.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
118,0.0,3.84003148615,96.7741935484,6097.97,1588.0,0.0,55.5,0.0,-3.6,6000.0,0.0,0.0,62.0,0.0,2.9,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
119,0.0,4.71321581197,142.647058824,4411.57,936.0,0.0,28.5,0.0,-3.48,4850.0,0.0,0.0,34.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
122,0.0,4.40566182096,134.88372093,5758.2,1307.0,0.0,76.8,0.0,-1.14,5800.0,0.0,0.0,43.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
123,0.0,3.43299397187,154.858333333,5125.46,1493.0,0.0,36.0,0.0,-4.6,3716.6,0.0,0.0,24.0,100.0,3.0,1.6,0.0,1000.0,7.0,0.0,16.6,0.0,1.0,0.0,0.0,0.0,0.0,0.0
124,2.0,4.84418353576,220.0,3589.54,741.0,0.0,29.6,0.0,-1.14,1100.0,0.0,93.94,5.0,5.0,3.0,15.04,2.0,2405.0,19.0,0.0,100.0,0.0,2.0,46.97,0.0,0.0,63.9,0.0
125,1.0,3.24873862159,150.615384615,2498.28,769.0,0.0,60.9,0.0,-4.2,1958.0,0.0,15.0,13.0,10.0,2.4,0.0,1.0,388.0,8.0,0.0,50.0,0.0,1.0,15.0,0.0,0.0,15.0,0.0
126,0.0,3.40921535893,94.6153846154,6126.36,1797.0,0.0,29.0,0.0,-29.0,6150.0,0.0,0.0,65.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
127,1.0,3.82666139241,109.302325581,4836.9,1264.0,0.0,61.9,0.0,0.01,4700.0,0.0,0.0,43.0,100.0,3.25,0.0,0.0,100.0,1.0,0.0,100.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
128,0.0,3.47532296651,200.0,5810.74,1672.0,0.0,34.0,0.0,0.01,6600.0,0.0,0.0,33.0,0.0,1.5,0.0,0.0,0.0,0.0,0.0,200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
129,0.0,4.39117033604,50.0,11368.74,2589.0,12001.0,60.6,88.8962962963,-13.0,50.0,135.0,0.0,1.0,0.0,3.6,0.0,0.0,0.0,0.0,1.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
130,1.0,3.89750469043,143.75,6232.11,1599.0,1300.0,30.0,130.0,-5.5,4600.0,10.0,17.65,32.0,0.0,3.0,2.65,1.0,0.0,0.0,50.0,50.0,0.0,1.0,17.65,0.0,0.0,17.65,0.0
131,1.0,3.67509155346,514.285714286,6221.93,1693.0,0.0,52.0,0.0,-3.54,3600.0,0.0,0.0,7.0,500.0,3.0,0.0,0.0,2000.0,4.0,0.0,100.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
132,1.0,3.23779279279,172.0,4312.74,1332.0,0.0,54.2,0.0,-4.6,4300.0,0.0,0.0,25.0,0.0,2.5,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
133,0.0,2.34321167883,87.5,1605.1,685.0,0.0,20.2,0.0,-8.0,1400.0,0.0,0.0,16.0,14.0,1.83,0.0,0.0,354.0,9.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
134,0.0,4.84543560606,290.2,10233.56,2112.0,0.0,79.7,0.0,-4.6,10737.4,0.0,0.0,37.0,0.0,3.3,22.4,0.0,0.0,0.0,0.0,37.4,0.0,1.0,0.0,0.0,0.0,0.0,0.0
135,0.0,4.33951191827,65.2542372881,3823.11,881.0,0.0,30.0,0.0,-30.0,3850.0,0.0,15.0,59.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,10.0,0.0,1.0,15.0,0.0,0.0,15.0,0.0
138,0.0,3.32097651422,87.3770491803,5373.34,1618.0,0.0,25.8,0.0,-5.0,5330.0,0.0,100.0,61.0,0.0,2.2,0.0,1.0,0.0,0.0,0.0,10.0,0.0,2.0,100.0,0.0,0.0,100.0,0.0
139,0.0,4.58074106364,116.0,5254.11,1147.0,0.0,28.5,0.0,-11.8,5220.0,0.0,40.0,45.0,0.0,3.8,0.0,2.0,0.0,0.0,0.0,30.0,0.0,1.0,20.0,0.0,0.0,20.0,0.0
142,0.0,4.49134168157,110.0,2510.66,559.0,0.0,82.5,0.0,-3.7,2530.0,0.0,0.0,23.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
143,0.0,3.99240146654,95.8064516129,4355.71,1091.0,0.0,60.4,0.0,-3.54,2970.0,0.0,0.0,31.0,40.0,3.0,0.0,0.0,1420.0,15.0,0.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
144,0.0,4.31793103448,200.0,125.22,29.0,0.0,28.0,0.0,0.01,200.0,0.0,0.0,1.0,0.0,2.9,0.0,0.0,0.0,0.0,0.0,200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
145,1.0,3.263891258,163.333333333,3061.53,938.0,0.0,46.8,0.0,-20.5,2450.0,0.0,330.79,15.0,0.0,1.03,0.05,3.0,0.0,0.0,0.0,100.0,0.0,3.0,100.0,0.0,0.0,215.79,0.0
150,1.0,3.51288014311,305.0,5891.1,1677.0,0.0,58.8,0.0,-3.54,6100.0,0.0,0.0,20.0,0.0,3.3,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
151,0.0,2.58996108949,105.0,3993.72,1542.0,0.0,30.0,0.0,-7.6,1890.0,0.0,0.0,18.0,11.0,1.77,0.0,0.0,2336.0,30.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
152,0.0,3.13215738758,141.666666667,5850.87,1868.0,0.0,30.0,0.0,-8.6,5950.0,0.0,0.0,42.0,0.0,2.615,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
153,0.0,4.03099353322,207.575757576,6856.72,1701.0,0.0,121.91,0.0,-4.0,6850.0,0.0,0.0,33.0,0.0,3.6,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
154,0.0,2.99901014003,98.3870967742,6210.95,2071.0,0.0,25.0,0.0,-6.6,6100.0,0.0,0.0,62.0,0.0,2.6,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
155,0.0,3.30750139743,90.4761904762,5917.12,1789.0,0.0,26.6,0.0,-1.2,5700.0,0.0,115.77,63.0,0.0,2.6,100.77,1.0,0.0,0.0,0.0,50.0,100.0,1.0,115.77,0.0,0.0,115.77,0.0
158,0.0,3.37653433476,95.5882352941,3146.93,932.0,0.0,62.0,0.0,-11.0,3250.0,0.0,0.0,34.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
159,0.0,3.32937349398,95.0,5526.76,1660.0,0.0,29.0,0.0,-5.8,1900.0,0.0,0.0,20.0,1.0,3.23,0.0,0.0,3551.0,49.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
160,0.0,4.0330958231,145.652173913,3282.94,814.0,0.0,52.9,0.0,-1.14,3350.0,0.0,0.0,23.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
161,0.0,4.61607508532,100.0,4057.53,879.0,3400.0,31.4,136.0,-3.73,400.0,25.0,22.64,4.0,0.0,3.6,7.64,1.0,0.0,0.0,50.0,100.0,0.0,1.0,22.64,0.0,0.0,22.64,0.0
162,0.0,2.90247544204,114.473684211,4432.08,1527.0,0.0,30.0,0.0,-3.2,4350.0,0.0,0.0,38.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
163,0.0,3.90941975309,141.666666667,3166.63,810.0,0.0,26.4,0.0,-3.54,3400.0,0.0,0.0,24.0,100.0,3.2,0.0,0.0,100.0,1.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
