id,DayofYeah250_sum,DayofYeah251_sum,DayofYeah63_sum,DayofYeah248_sum,DayofYeah289_median,DayofYeah193_min,DayofYeah295_max,DayofYeah282_max,DayofYeah187_min,DayofYeah9_min,DayofYeah142_median,DayofYeah129_sum
196,34.55,6.1,67.46,13.4,1.5,-3.06,6.0,21.0,0.7,0.01,9.8,125.3
197,19.74,14.91,10.89,11.83,1.5,0.02,5.2,4.2,0.7,0.1,0.5,9.03
198,0.0,0.0,19.0,9.6,3.0,2.0,200.0,11.0,0.0,6.0,4.0,0.0
199,0.0,0.0,0.0,6.0,0.0,0.0,0.0,15.5,0.0,0.09,0.0,4.0
206,8.0,7.73,1.1,5.6,0.0,0.5,10.5,1.4,0.04,0.02,2.5,120.1
207,0.0,0.3,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0
208,27.56,22.13,12.74,8.03,1.43,0.0,7.5,6.4,1.63,0.8,2.63,71.73
209,7.2,17.3,0.0,64.91,2.5,0.4,1.8,5.0,0.1,0.01,0.6,109.11
210,9.6,0.98,32.47,15.6,4.0,0.8,10.0,8.0,0.5,3.0,0.0,10.7
211,0.0,2.0,17.28,5.8,3.5,2.2,8.5,5.6,0.7,1.0,4.5,14.75
212,19.6,128.1,28.2,25.9,5.0,0.0,200.0,9.0,0.01,0.01,2.5,32.31
213,21.1,229.1,20.8,27.2,1.95,1.5,6.0,2.2,4.0,6.0,3.8,0.0
216,14.2,9.9,23.63,19.02,5.0,3.0,15.6,5.5,0.7,0.09,6.0,3.3
217,3.61,17.0,0.04,33.6,0.01,6.0,19.4,3.0,0.6,0.02,7.0,0.0
220,0.0,0.0,18.4,0.0,0.0,0.0,0.0,7.2,8.0,1.9,4.8,0.0
221,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
223,1.05,6.85,109.95,31.1,5.6,2.6,6.8,8.5,2.2,0.05,5.5,16.13
224,0.0,0.0,10.96,0.0,0.0,0.8,20.0,0.0,0.0,1.8,2.7,0.0
225,0.0,0.0,16.95,23.63,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0
226,29.26,20.96,5.0,16.7,9.1,0.0,15.0,5.0,0.0,0.1,0.0,0.0
227,311.7,33.3,17.65,29.23,5.05,1.4,5.1,4.2,3.4,1.0,5.0,125.6
230,31.2,33.2,32.4,203.5,2.15,0.01,5.6,9.8,1.0,-1.08,3.0,35.1
231,27.7,4.84,23.2,14.8,1.775,1.1,6.2,100.0,1.2,0.6,4.55,22.3
232,14.1,7.95,18.5,4.2,4.55,1.0,6.5,6.5,3.7,0.09,5.3,0.15
233,0.0,0.0,20.8,6.1,10.1,4.6,6.9,6.8,3.9,3.0,27.3,12.2
236,15.96,106.58,7.5,0.0,4.8,0.0,10.0,4.1,6.5,1.0,4.6,2.0
237,20.7,5.9,122.8,23.5,4.6,2.5,100.0,7.0,0.2,2.0,2.7,19.1
238,14.5,21.6,108.28,17.14,7.6,0.04,5.6,9.0,0.0,0.0,10.0,8.2
239,13.8,52.24,12.62,19.77,0.55,1.5,10.6,6.6,0.0,0.6,4.0,5.43
240,49.2,33.8,213.1,27.0,2.0,1.0,11.3,200.0,0.01,0.08,1.8,129.3
241,41.4,39.53,20.7,21.84,5.6,0.0,12.6,10.5,0.0,0.0,5.2,45.64
242,0.0,0.0,0.0,10.2,4.7,0.0,8.6,8.6,1.7,0.1,1.6,30.2
243,11.66,7.2,8.31,5.4,0.0,1.0,6.0,1.5,4.25,0.01,2.75,8.5
244,16.4,9.4,26.01,5.09,4.25,0.01,10.0,1.6,0.02,6.1,0.0,19.84
245,24.81,5.06,1.0,16.8,5.25,0.0,3.0,5.5,0.0,0.01,0.0,0.0
246,25.43,21.1,9.2,69.0,3.0,1.5,9.5,6.0,1.5,0.8,2.95,0.0
247,45.42,6.1,4.9,17.5,0.0,0.0,25.2,6.0,0.0,0.02,2.165,1.0
248,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
249,11.91,10.51,10.72,15.12,2.23,0.2,3.8,5.0,1.0,1.0,2.5,12.62
252,1.11,3.01,6.51,7.41,3.65,0.0,4.1,4.0,0.0,0.6,3.3,10.89
253,14.26,40.43,13.68,34.0,0.8,0.0,5.6,5.5,0.4,1.0,0.01,8.51
254,10.76,10.61,239.47,8.5,1.8,0.14,4.6,100.0,-1.14,0.15,4.6,0.18
255,8.66,114.8,18.66,16.7,1.5,0.9,0.14,15.0,1.5,0.16,2.4,31.73
256,21.5,0.9,47.58,14.9,5.0,1.0,300.0,10.0,0.6,1.6,4.6,55.12
257,4.52,111.5,35.55,18.75,2.0,0.6,7.0,15.0,1.2,0.01,0.0,14.93
258,0.01,1.0,20.06,8.1,6.9,0.03,50.0,13.7,0.0,0.19,3.95,17.4
259,0.04,0.6,16.38,3.03,0.0,1.6,0.02,0.0,0.3,0.01,0.03,1.99
262,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
263,4.71,14.31,12.4,18.13,2.5,0.2,10.0,4.0,0.1,0.01,2.75,7.9
264,210.8,0.7,12.4,10.9,1.55,1.0,1.9,3.9,0.38,1.4,2.15,3.58
265,6.3,0.4,40.42,9.7,3.4,1.5,50.0,100.0,1.5,0.01,0.8,136.5
266,0.0,0.0,2.0,14.02,0.0,0.0,0.01,2.3,0.0,0.0,0.0,0.0
267,0.0,0.0,40.3,0.0,0.01,0.9,0.01,6.8,3.3,0.0,2.15,16.0
280,3.78,29.32,6.87,7.1,1.1,0.2,3.0,4.7,0.5,0.08,0.1,20.07
281,32.9,28.03,106.21,0.0,4.0,0.7,200.0,6.6,1.5,0.01,1.0,24.81
282,27.1,22.5,76.9,13.7,4.2,1.0,12.6,150.0,0.0,0.8,5.0,13.8
283,0.0,0.0,0.0,0.0,10.7,3.0,20.0,15.3,0.0,0.0,8.7,0.0
284,21.8,16.13,24.26,16.63,2.0,0.02,24.8,100.0,0.6,1.0,2.2,66.01
285,50.1,43.1,5.0,217.08,7.75,22.6,10.9,200.0,0.6,4.6,2.3,16.55
288,20.6,17.1,51.31,72.35,5.6,-0.9,15.7,5.6,-0.3,1.5,4.3,32.9
289,26.6,20.98,328.7,39.96,4.0,0.0,7.8,21.8,0.0,3.4,9.45,15.9
292,51.41,30.73,10.6,34.38,9.6,0.0,11.5,10.0,4.0,0.03,1.05,29.87
293,22.9,0.12,25.54,18.46,3.65,0.0,5.0,7.0,2.7,0.01,0.0,0.0
294,24.61,7.3,26.98,41.91,3.8,0.0,11.9,5.6,1.0,0.01,3.865,9.15
295,26.8,0.0,15.21,21.3,3.35,3.0,5.6,12.0,8.6,1.0,1.9,9.1
296,12.2,21.33,23.33,27.7,2.81,0.0,5.1,6.5,0.01,0.02,1.2,16.2
297,0.0,0.0,9.5,26.62,4.4,0.6,4.9,100.0,0.0,0.01,3.0,22.2
300,26.1,33.4,122.6,19.33,4.8,0.4,50.0,83.0,1.0,0.0,4.3,56.72
301,225.0,31.05,411.82,236.8,0.0,1.0,18.2,16.5,0.5,0.0,9.05,27.88
302,21.8,15.3,43.06,25.13,5.9,0.2,13.0,300.0,1.5,0.2,3.0,23.3
303,29.0,23.5,15.52,18.17,3.0,0.4,5.5,6.6,3.1,0.01,4.4,3.3
306,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.0,3.0,0.0
307,2.0,0.0,0.0,17.8,1.0,0.0,66.2,6.1,0.0,1.0,0.0,0.0
314,1.7,0.5,30.87,15.34,2.205,1.2,15.0,6.0,0.5,0.0,6.2,0.01
315,18.9,222.1,13.04,20.8,4.1,0.0,5.6,500.0,0.01,0.01,3.3,13.62
316,0.0,36.6,14.0,0.0,0.7,0.0,50.0,5.8,10.7,10.0,0.0,0.0
317,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
322,15.39,237.01,15.27,13.1,5.9,6.4,9.8,5.0,3.5,6.1,9.95,124.3
323,19.57,19.76,228.1,118.2,5.65,7.3,12.6,100.0,2.5,0.01,3.9,27.9
326,35.03,17.83,17.23,28.4,3.0,1.6,4.6,4.1,1.8,4.7,4.1,24.8
327,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
330,18.3,16.1,28.1,6.81,2.5,0.01,5.0,4.4,0.1,1.5,1.83,21.59
331,38.3,19.91,0.0,205.1,3.75,4.0,16.2,200.0,0.0,-0.3,6.0,0.0
332,16.7,14.9,16.6,37.0,3.48,1.0,7.3,9.0,0.6,2.6,3.8,0.0
333,13.47,9.2,12.9,25.98,15.4,3.3,5.9,3.0,7.5,0.0,19.45,15.7
336,3.5,10.02,0.0,16.8,2.0,0.0,5.0,11.5,1.1,0.13,1.3,12.36
337,4.8,114.6,211.5,24.3,2.7,0.0,16.54,3.8,1.4,0.15,6.65,17.4
338,154.0,25.9,14.6,137.9,4.3,0.0,5.8,5.0,0.8,0.1,1.8,97.0
339,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
340,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
341,18.43,316.51,11.31,15.94,5.1,3.6,200.0,3.6,2.6,0.06,0.01,166.1
342,117.0,16.6,10.33,65.1,4.2,0.5,6.2,6.0,0.1,1.23,0.0,51.2
343,0.7,10.9,9.24,6.9,3.2,3.5,1.0,2.0,3.2,0.01,11.0,6.4
346,13.0,24.55,33.8,23.7,5.6,4.0,4.8,400.0,5.0,0.17,15.0,11.8
347,53.95,28.0,0.0,39.13,3.9,0.0,300.0,4.0,0.0,6.0,4.1,25.4
350,12.0,14.84,23.12,17.26,10.7,0.6,10.0,9.7,0.4,0.0,2.4,16.9
351,17.0,16.0,10.68,18.33,1.94,0.0,5.0,9.3,3.0,2.5,1.2,6.3
352,10.1,25.31,19.5,21.7,1.98,0.0,7.2,5.4,2.5,2.5,5.7,7.6
353,0.0,0.0,307.35,1.1,5.4,0.0,10.0,9.0,0.0,0.01,0.0,6.3
354,7.81,31.4,23.1,5.43,5.65,2.2,11.4,7.0,2.5,0.01,5.6,33.3
355,19.6,21.8,39.7,11.8,3.0,0.0,0.0,18.75,0.0,1.8,5.75,95.9
356,5.9,7.8,14.11,23.92,2.1,-1.14,5.1,5.6,0.5,1.8,2.9,14.86
357,15.5,15.7,0.0,16.63,2.5,2.6,8.2,4.6,0.3,1.2,0.0,0.0
360,19.2,309.5,24.0,30.58,3.8,0.8,5.0,5.0,0.7,1.5,1.2,32.7
361,1025.24,22.5,10.11,36.29,5.5,1.6,5.0,6.6,1.2,1.0,0.2,100.45
364,5.6,18.61,11.22,14.61,3.6,1.5,7.2,5.9,0.2,0.01,5.6,6.2
365,19.8,16.63,111.9,17.43,4.4,10.0,200.0,7.5,2.6,-0.06,5.0,16.1
366,0.0,0.0,47.2,0.0,0.0,0.0,5.6,7.3,0.0,2.8,0.0,0.0
367,0.8,0.0,0.0,0.0,6.6,0.0,0.0,0.0,3.2,0.0,0.0,0.0
368,5.1,1.2,12.3,139.6,25.0,0.0,0.0,40.0,0.0,0.05,7.6,8.7
369,0.0,0.0,2.0,24.2,6.5,0.0,150.0,15.18,0.0,0.0,0.0,0.0
370,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
371,0.0,107.6,25.11,17.8,4.5,4.1,8.6,6.0,0.5,1.6,3.0,16.76
372,14.0,1.2,9.72,0.0,5.93,0.8,0.0,6.7,0.0,0.09,2.0,0.0
373,0.0,0.0,25.13,0.0,0.0,0.0,60.0,0.0,0.0,0.08,0.0,0.05
374,9.33,10.52,25.73,120.43,2.8,1.0,5.6,5.6,0.01,0.03,5.6,9.7
375,4.6,10.09,23.75,13.41,4.2,0.0,200.0,10.3,0.02,0.01,4.6,14.52
378,14.27,22.23,6.43,50.38,5.6,3.0,5.0,6.16,2.9,0.01,0.01,25.15
379,11.8,158.7,9.96,10.31,1.65,3.03,2.4,5.7,3.0,0.02,1.8,12.33
380,20.83,18.0,12.82,16.8,2.4,3.0,5.8,4.0,0.1,1.0,3.0,35.7
381,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
382,67.43,16.2,12.85,10.43,4.1,1.8,50.0,0.0,5.6,0.0,10.5,69.4
383,10.18,1.0,0.0,7.6,1.0,0.2,50.0,100.0,0.2,0.01,1.5,69.2
392,8.8,3.6,125.53,47.49,1.8,0.9,5.4,0.14,0.1,0.01,3.6,0.0
393,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
398,6.2,117.4,47.33,27.0,1.85,0.1,100.0,50.0,0.0,1.6,0.0,0.0
399,93.1,5.3,18.51,78.1,3.05,0.5,14.9,100.0,0.1,0.5,7.5,23.6
400,0.0,0.0,19.73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1,0.0
401,0.0,0.0,0.0,2.0,0.0,0.0,5.6,0.0,0.0,0.0,0.0,0.0
402,12.52,10.61,5.62,20.52,0.01,1.4,300.0,5.6,1.5,0.02,2.1,13.34
403,0.0,7.3,15.6,17.3,3.4,0.0,11.6,5.5,-1.14,13.0,4.7,15.8
406,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.55,9.7
407,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,93.47,0.0
408,8.7,6.02,5.72,28.83,2.415,0.01,7.4,4.6,0.1,0.03,0.0,0.0
409,12.5,16.1,15.0,110.6,2.3,0.1,5.8,2.0,0.4,0.63,2.0,13.3
410,34.13,21.29,0.07,37.28,2.0,0.0,6.0,200.0,3.2,0.01,4.75,15.31
