id,2015-05-21_mean,2014-09-05_mean,2014-09-01_mean,2014-10-27_mean,2015-07-19_median,2013-09-02_sum,2014-12-10_min,2014-09-26_mean,2015-03-11_sum,2015-02-05_min,2015-07-23_count,2014-12-24_count,2013-09-23_sum,2015-06-29_min,2014-09-08_sum,2014-04-03_min,2014-11-21_sum,2015-06-04_mean,2014-08-07_max,2014-09-24_mean,2014-10-07_mean,2014-09-07_sum,2015-05-22_median,2015-01-04_min,2015-05-23_sum,2015-07-20_mean,2015-05-30_mean,2014-09-22_mean,2014-12-26_median,2014-07-01_max,2014-10-17_min
19,9.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,21.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.3,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,0.0,0.0,9.5,17.75,0.0,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,2.75,0.0,0.0
22,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,16.2,0.0,0.0,3.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.6,0.0
23,7.23333333333,5.6,4.215,1.66666666667,0.0,0.0,1.8,0.01,19.7,0.0,0.0,6.0,0.0,1.0,26.4,0.0,19.7,2.55625,0.0,6.7,0.0,34.8,3.8,0.1,23.18,0.0,4.8,1.0,6.8,0.0,3.0
24,0.0,0.0,0.0,0.0,0.0,110.7,0.0,0.0,0.0,0.0,0.0,0.0,16.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.6,0.0
25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,4.05,0.0,3.925,6.1,0.0,0.0,1.0,0.0,5.5,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,9.3,0.0,7.3,4.0,0.0,1.1,2.8,0.0,0.3,45.0,35.8657142857,0.0,0.0,1.0
28,0.0,0.0,0.0,0.0,0.0,9.5,0.0,0.0,0.0,0.0,0.0,0.0,12.2,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,0.0,5.14,2.53,6.1,0.0,0.0,5.5,2.7,12.6,0.0,0.0,0.0,0.0,0.0,9.5,0.0,8.33,15.075,0.0,3.266,7.0,12.2,0.0,0.0,0.0,0.0,0.0,3.925,10.35,0.0,5.2
30,0.0,10.0,0.0,4.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,15.0,4.5,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,8.0
31,1.74,3.64285714286,2.844,27.0025,1.3,0.0,0.12,0.8,14.76,0.0,0.0,0.0,0.0,0.8,10.0,0.0,11.3,4.25166666667,0.0,3.32333333333,2.8,37.16,4.6,0.01,13.3,0.0,0.71,26.2333333333,4.755,0.0,16.3
36,0.0,0.0,0.0,0.0,0.0,15.35,0.0,0.0,0.0,0.0,0.0,0.0,14.85,0.0,0.0,1.0,0.0,0.0,7.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0
37,2.8,3.3,3.52,3.85,1.5,0.0,1.6,2.46,16.0,0.0,11.0,3.0,0.0,1.2,9.8,0.0,21.83,2.16428571429,0.0,6.45,5.93333333333,13.6,2.25,5.0,48.2,3.15333333333,1.88,3.254,0.8,0.0,0.5
40,4.425,2.168,2.0775,3.6,5.6,0.0,3.33,1.8,17.53,0.0,1.0,4.0,0.0,1.5,0.0,0.0,6.6,3.75,0.0,3.34,5.1,11.46,5.5,3.0,20.0,5.55,4.1,3.36666666667,5.3,0.0,2.4
41,2.43333333333,1.944,2.10142857143,0.15,0.0,0.0,0.0,3.0,15.9,0.0,0.0,0.0,0.0,1.1,15.3,0.0,129.3,6.5,0.0,1.95,0.0,10.4,3.13,0.0,2.0,29.1,4.43,4.375,0.0,0.0,8.0
42,0.0,0.0,0.0,0.0,0.0,15.69,0.0,0.0,0.0,0.0,0.0,0.0,10.14,0.0,0.0,0.1,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.0,0.0
43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
44,4.53333333333,3.16,19.3166666667,4.542,5.5,0.0,2.5,4.63333333333,223.2,0.0,3.0,7.0,0.0,1.0,0.7,0.0,16.2,3.9625,0.0,2.92857142857,36.7333333333,16.1,4.0,0.73,8.9,4.0,39.9625,3.325,4.0,0.0,0.45
45,36.785,3.4575,2.81,55.8,2.7,0.0,0.07,4.106,3.77,0.0,3.0,8.0,0.0,1.0,17.5,0.0,32.1,5.444,0.0,4.86666666667,5.0,84.86,3.33,0.01,19.91,7.76666666667,0.505,7.9675,1.0,0.0,1.8
50,3.675,0.55,2.7,0.75,0.0,0.0,0.96,200.0,19.85,0.0,0.0,6.0,0.0,1.1,33.2,0.0,45.1,1.95,0.0,1.32857142857,6.03,61.23,3.0,1.1,0.0,0.4,1.3,3.025,2.4,0.0,0.8
51,2.964,3.8375,3.95333333333,3.25,0.7,0.0,5.0,51.5,14.91,0.0,3.0,5.0,0.0,3.3,6.0,0.0,23.82,4.6275,0.0,2.924,2.6775,17.86,5.6,1.9,18.5,6.5,2.42,3.97444444444,4.25,0.0,3.0
52,8.94,3.08333333333,5.65,12.22,0.0,0.0,1.68,5.92,15.9,0.0,0.0,2.0,0.0,1.0,29.63,0.0,0.0,5.7,0.0,4.12,38.3333333333,215.2,4.0,1.5,0.0,0.0,5.73333333333,35.6666666667,0.0,0.0,0.0
53,4.73625,4.21111111111,3.36142857143,3.32857142857,0.0,0.0,1.0,2.97375,20.7,0.0,0.0,6.0,0.0,1.0,20.14,0.0,22.87,8.06666666667,0.0,3.72,3.445,19.55,5.5,-4.9,39.4,0.0,7.24714285714,4.85714285714,1.55,0.0,1.0
54,5.5,3.78833333333,2.92,3.96666666667,5.5,0.0,3.7,8.0,22.4,0.0,4.0,7.0,0.0,0.6,39.5,0.0,26.1,38.9666666667,0.0,5.16666666667,0.0,36.0,5.55,1.0,13.7,1.0,0.0,3.23333333333,3.2,0.0,1.8
55,0.888333333333,2.15428571429,3.24222222222,2.44222222222,0.0,0.0,0.01,4.95,21.11,0.0,1.0,6.0,0.0,0.3,19.1,0.0,18.9,2.22666666667,0.0,2.85125,6.5,15.18,4.2,0.07,9.0,0.0,6.16666666667,30.3885714286,3.0,0.0,3.0
56,0.0,0.0,0.0,0.0,0.0,2.6,0.0,0.0,0.0,0.0,0.0,0.0,10.1,0.0,0.0,14.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
57,4.6875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2,0.0,17.5,0.0,0.0,0.0,0.0,0.0,0.0
58,100.5,3.0025,5.7,27.72875,4.8,0.0,0.01,3.76833333333,30.54,0.0,6.0,6.0,0.0,3.6,6.21,0.0,15.81,2.93333333333,0.0,3.282,0.544,3.61,2.0,2.6,35.2,6.875,5.075,26.57625,1.0,0.0,0.01
59,2.52,3.77888888889,15.2,9.86666666667,0.0,0.0,0.01,0.09,26.9,0.0,0.0,6.0,0.0,8.7,4.2,0.0,0.8,35.5,0.0,3.0025,3.535,0.11,2.05,2.2,16.05,0.0,3.5,12.125,1.005,0.0,0.09
62,0.0,0.0,0.0,0.0,0.0,26.79,0.0,0.0,0.0,0.0,0.0,0.0,174.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
64,0.0,0.0,0.0,0.0,0.0,13.72,0.0,0.0,0.0,0.0,0.0,0.0,1.43,0.0,0.0,1.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
65,4.25,4.3,3.55,0.0,9.0,0.0,0.8,0.0,31.64,0.0,0.0,4.0,0.0,0.6,0.0,0.0,12.2,0.0,0.0,0.0,0.0,5.6,3.3,0.0,18.0,0.0,4.63333333333,0.0,3.7,0.0,0.0
66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.7,0.0,0.0,0.03,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0
67,0.9,3.67142857143,2.96666666667,12.0236363636,0.0,0.0,1.5,0.9,133.15,0.0,0.0,5.0,0.0,0.0,130.5,0.0,5.5,12.3,0.0,5.3,0.0,6.0,2.45,0.03,4.3,28.0857142857,3.2,4.5,9.73,0.0,0.02
68,0.0,0.0,0.0,0.0,0.0,34.37,0.0,0.0,0.0,0.0,0.0,0.0,21.16,0.0,0.0,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.6,0.0
69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
70,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0
71,0.0,3.5,3.62285714286,0.0,0.0,0.0,0.0,2.62555555556,0.0,0.0,0.0,0.0,0.0,0.0,15.4,0.0,1.2,0.0,0.0,3.16833333333,0.0,0.0,0.0,3.5,0.0,0.0,0.0,1.0,0.01,0.0,0.0
74,0.0,0.0,0.0,0.0,0.0,122.35,0.0,0.0,0.0,0.0,0.0,0.0,127.68,0.0,0.0,-1.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
75,2.48,3.15714285714,3.52,5.0,0.0,0.0,0.3,3.27142857143,45.0,0.0,0.0,7.0,0.0,3.0,12.8,0.0,2.3,15.38125,0.0,3.625,1.025,10.3,4.5,0.03,0.0,0.0,2.9625,0.9,3.425,0.0,1.2
76,0.0,0.0,0.0,0.0,0.0,21.9,0.0,0.0,0.0,0.0,0.0,0.0,29.02,0.0,0.0,10.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.2,0.0
77,10.0,10.2333333333,4.5,14.4,5.95,0.0,11.8,0.1,18.0,0.0,4.0,2.0,0.0,0.0,435.9,0.0,38.4,139.266666667,0.0,0.1,0.1,29.9,15.25,10.3,9.2,1.56666666667,10.7,11.125,0.0,0.0,0.1
78,0.0,0.0,0.0,0.0,0.0,31.8,0.0,0.0,0.0,0.0,0.0,0.0,12.71,0.0,0.0,3.0,0.0,0.0,6.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0
79,1.3,1.155,1.2,3.264,0.0,0.0,0.02,0.07,24.1,0.0,0.0,1.0,0.0,80.0,0.08,0.0,3.2,0.85,0.0,2.61666666667,0.01,1.0,3.65,2.5,0.07,0.0,4.0,2.375,7.0,0.0,0.1
80,0.0,0.0,0.0,0.0,0.0,6.72,0.0,0.0,0.0,0.0,0.0,0.0,26.2,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0
81,15.7275,4.39,16.725,6.352,1.0,0.0,0.6,1.325,15.0,0.0,0.0,7.0,0.0,0.1,9.22,0.0,17.5,5.035,0.0,4.3,3.84166666667,18.59,2.4,0.4,3.0,0.0,2.72222222222,4.825,1.0,0.0,0.02
82,0.0,0.0,0.0,0.0,0.0,19.4,0.0,0.0,0.0,0.0,0.0,0.0,13.72,0.0,0.0,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.6,0.0
83,0.0,3.34,0.0,0.0,0.0,0.0,0.3,0.0,15.7,0.0,0.0,5.0,0.0,0.9,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0
84,0.0,0.0,0.0,0.0,0.0,18.82,0.0,0.0,0.0,0.0,0.0,0.0,131.71,0.0,0.0,1.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.8,0.0
85,1.50333333333,1.4025,3.3525,1.40666666667,0.0,0.0,0.01,0.0,7.6,0.0,5.0,11.0,0.0,1.2,4.0,0.0,9.42,2.75714285714,0.0,1.03666666667,2.98,4.7,1.75,0.01,10.8,1.3,1.83545454545,1.41833333333,1.0,0.0,0.01
86,0.0,0.0,0.0,0.0,0.0,20.31,0.0,0.0,0.0,0.0,0.0,0.0,14.2,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0
87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
88,0.0,0.0,0.0,0.0,0.0,13.64,0.0,0.0,0.0,0.0,0.0,0.0,18.21,0.0,0.0,5.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0
89,0.0,23.66,19.3833333333,4.75,0.0,0.0,0.15,4.2,17.67,0.0,0.0,9.0,0.0,0.0,19.9,0.0,29.4,0.0,0.0,6.53333333333,8.92,18.8,0.0,1.5,0.0,0.0,0.0,26.02,6.5,0.0,10.0
92,0.0,0.0,0.0,0.0,0.0,4.6,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
93,4.2,2.765,3.9,4.175,4.6,0.0,1.8,5.33,24.91,0.0,5.0,1.0,0.0,0.0,8.3,0.0,4.1,4.6,0.0,2.625,1.504,11.81,4.6,0.01,7.58,46.7428571429,1.0,10.5,1.1,0.0,0.01
94,0.0,0.0,0.0,0.0,0.0,3.47,0.0,0.0,0.0,0.0,0.0,0.0,120.0,0.0,0.0,0.02,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.9,0.0
95,2.456,2.62,2.86,2.75,0.0,0.0,2.5,0.0,14.6,0.0,0.0,2.0,0.0,0.0,6.4,0.0,5.1,3.45,0.0,34.9866666667,2.38333333333,0.0,4.6,2.7,12.4,0.0,0.0,3.63333333333,2.4,0.0,1.0
98,0.0,0.0,0.0,0.0,0.0,109.9,0.0,0.0,0.0,0.0,0.0,0.0,11.4,0.0,0.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.5,0.0
99,2.248,3.3,3.0,2.9,12.2,0.0,0.02,9.5,11.6,0.0,4.0,3.0,0.0,0.7,16.2,0.0,11.6,7.3,0.0,3.95,3.125,20.0,4.0,2.4,0.0,36.7666666667,4.11666666667,3.525,3.6,0.0,1.5
106,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
107,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
112,0.0,0.0,0.0,0.0,0.0,31.1,0.0,0.0,0.0,0.0,0.0,0.0,19.6,0.0,0.0,1.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.6,0.0
113,37.0666666667,4.5,7.46666666667,14.71125,0.0,0.0,4.1,0.0,113.2,0.0,0.0,0.0,0.0,0.4,4.6,0.0,0.0,5.6,0.0,5.45,0.0,4.2,1.585,0.06,8.23,0.0,5.45,5.6,0.0,0.0,0.0
118,0.0,0.0,0.0,0.0,0.0,119.88,0.0,0.0,0.0,0.0,0.0,0.0,134.42,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.5,0.0
119,18.0,4.36,101.2,10.0,0.0,0.0,1.8,8.475,21.2,0.0,0.0,4.0,0.0,4.0,11.9,0.0,21.0,78.5,0.0,18.5,0.0,0.0,9.5,10.9,18.6,2.3,6.65,0.0,0.0,0.0,2.0
122,0.0,0.0,0.0,0.0,0.0,39.44,0.0,0.0,0.0,0.0,0.0,0.0,228.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.5,0.0
123,4.655,1.4,2.58333333333,3.75,4.3,0.0,0.01,0.0,13.55,0.0,5.0,6.0,0.0,0.5,14.7,0.0,21.9,29.2,0.0,2.275,2.4,23.63,4.665,2.4,18.2,2.44,3.11444444444,4.725,4.2,0.0,0.5
124,10.66,53.0125,3.266,6.72,0.0,0.0,0.02,4.18,7.53,0.0,0.0,0.0,0.0,0.6,18.2,0.0,5.4,6.5,0.0,8.61,5.36,21.13,0.0,0.0,27.9,0.0,0.0,5.15,2.9,0.0,0.5
125,0.0,1.94,3.7,102.3,0.0,0.0,1.1,5.5,215.82,0.0,0.0,3.0,0.0,0.5,15.7,0.0,16.1,1.98333333333,0.0,2.95,0.0,11.3,0.0,0.01,0.0,0.0,0.0,6.5,0.0,0.0,4.4
126,2.8825,4.84444444444,2.85428571429,3.922,1.5,0.0,0.8,29.8825,112.6,0.09,4.0,3.0,0.0,0.6,7.09,0.0,12.05,4.0,0.0,2.60714285714,1.9,60.2,7.0,0.1,17.5,4.6,4.325,1.84,0.5,0.0,0.5
127,2.9,3.37777777778,5.88,27.9225,0.0,0.0,1.0,1.53333333333,13.7,0.0,0.0,3.0,0.0,2.0,25.0,0.0,17.75,3.05,0.0,3.96666666667,2.53333333333,125.5,4.0,0.0,24.9,0.0,3.825,30.2,4.8,0.0,0.02
128,0.0,0.0,0.0,0.0,0.0,20.43,0.0,0.0,0.0,0.0,0.0,0.0,40.5,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
129,5.06666666667,17.1875,4.13714285714,4.22428571429,4.4,0.0,0.8,3.51666666667,31.2,0.03,8.0,6.0,0.0,0.8,17.4,0.0,21.4,5.41666666667,0.0,15.5125,5.0,30.9,2.8,0.65,105.3,12.1272727273,3.00714285714,6.0,6.2,0.0,1.2
130,0.0,0.0,0.0,0.0,0.0,23.7,0.0,0.0,0.0,0.0,0.0,0.0,24.61,0.0,0.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.7,0.0
131,3.20714285714,4.07142857143,3.05166666667,3.2,0.0,0.0,0.1,4.775,11.96,0.0,0.0,5.0,0.0,0.5,50.3,0.0,4.0,2.41142857143,0.0,3.71428571429,2.36875,21.8,4.0,0.7,64.7,0.0,6.65666666667,3.88571428571,3.9,0.0,1.3
132,0.0,0.0,0.0,0.0,0.0,14.92,0.0,0.0,0.0,0.0,0.0,0.0,22.63,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.5,0.0
133,0.0,0.0,1.57,2.21428571429,0.0,0.0,0.6,2.0,5.83,0.0,3.0,3.0,0.0,0.3,0.0,0.0,17.0,0.0,0.0,10.6216666667,0.0,0.0,1.4,0.0,45.5,5.36,0.0,2.7,0.6,0.0,0.15
134,0.0,0.0,0.0,0.0,0.0,82.9,0.0,0.0,0.0,0.0,0.0,0.0,37.4,0.0,0.0,2.0,0.0,0.0,16.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,400.0,0.0
135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.4,0.0
138,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.63,0.0,0.0,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0
139,5.05111111111,3.5,0.0,5.28571428571,0.0,0.0,3.03,70.8333333333,24.12,0.0,0.0,7.0,0.0,4.2,19.4,0.0,1.8,4.37,0.0,3.66666666667,0.0,15.9,10.5,0.03,40.09,0.0,3.65333333333,8.1,4.0,0.0,2.0
142,0.0,0.0,0.0,0.0,0.0,33.18,0.0,0.0,0.0,0.0,0.0,0.0,47.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0
143,11.97375,2.0525,5.58,0.0,0.0,0.0,6.6,5.55,1.8,0.0,5.0,4.0,0.0,1.8,214.8,0.0,11.5,1.0,0.0,4.95714285714,0.1,19.0,3.015,0.01,16.3,0.0,3.77333333333,3.9,0.06,0.0,0.1
144,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
145,0.0,0.0,0.0,0.0,0.0,18.1,0.0,0.0,0.0,0.0,0.0,0.0,15.19,0.0,0.0,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
150,0.0,0.0,0.0,0.0,0.0,11.6,0.0,0.0,0.0,0.0,0.0,0.0,23.4,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.6,0.0
151,2.25666666667,4.34,15.8185714286,2.14666666667,0.0,0.0,0.7,1.95,7.51,0.0,0.0,7.0,0.0,0.9,0.7,0.0,8.5,2.62857142857,0.0,1.432,0.976666666667,5.6,1.8,0.2,19.0,0.0,3.75,3.03142857143,1.0,0.0,0.02
152,0.0,0.0,0.0,0.0,0.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,13.53,0.0,0.0,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0
