id,DayofMonth2_sum,DayofMonth9_sum,DayofMonth16_min,DayofMonth19_median,DayofMonth9_min,DayofMonth18_max,DayofMonth8_sum,DayofMonth17_mean,DayofMonth2_median,DayofMonth1_min,DayofMonth14_min,DayofMonth4_sum
65,123.56,112.85,-25.0,4.75,0.01,17.0,345.18,15.55,4.4,0.01,0.01,305.79
66,315.97,266.79,0.02,1.9,0.01,100.0,338.93,7.33068181818,2.95,0.02,-3.4,573.0
67,435.78,188.15,0.02,0.9,0.01,19.2,462.19,5.86659574468,1.75,0.01,0.02,190.01
68,581.94,335.08,-1.14,2.25,0.01,400.0,233.6,6.17195652174,2.2,-1.14,-0.3,572.87
69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
70,194.08,339.24,0.02,4.3,0.01,100.0,230.31,13.654,4.55,0.01,0.8,356.45
71,201.16,165.51,1.5,3.6,0.01,50.0,23.12,3.87545454545,2.2,0.02,0.1,301.91
74,200.04,334.19,0.1,3.5,0.01,100.0,263.4,7.62382978723,2.2,-0.24,0.0,212.83
75,232.51,353.59,0.1,3.2,0.01,100.0,364.53,4.30068181818,3.0,0.1,0.1,759.36
76,168.27,441.35,0.01,1.0,0.0,22.1,199.35,7.27923076923,4.1,-2.94,0.01,387.47
77,680.51,241.08,0.1,8.25,0.3,100.0,1009.56,6.73678571429,9.8,0.1,0.1,1516.55
78,281.56,456.44,-0.84,5.5,0.01,19.0,527.75,6.05428571429,4.7,-0.12,0.7,391.05
79,147.15,96.78,0.05,0.9,0.01,10.0,48.72,6.6975,1.8,0.01,0.01,82.93
80,109.15,235.54,0.03,2.0,0.01,200.0,266.62,2.48857142857,1.5,0.06,0.01,347.92
81,184.87,359.52,0.01,1.8,0.01,100.0,479.21,9.84170212766,2.8,0.01,-3.48,155.42
82,194.61,294.22,0.04,2.0,0.01,7.1,121.21,5.95342105263,1.1,0.1,0.01,66.71
83,85.43,103.23,0.0,3.95,0.8,100.0,184.83,29.85,9.0,0.01,0.01,417.66
84,77.92,234.82,0.01,5.0,0.02,100.0,151.41,9.61666666667,4.0,-2.94,0.02,361.72
85,837.39,133.9,-10.4,1.35,-0.12,30.0,170.42,12.1945238095,2.5,0.01,-0.78,101.89
86,429.08,445.24,-3.54,3.0,0.01,100.0,388.41,3.52857142857,2.3,0.01,0.01,441.93
87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
88,288.58,520.15,0.01,4.6,0.01,100.0,362.48,9.79945945946,5.0,0.1,0.1,352.67
89,135.82,54.8,0.01,4.3,1.5,100.0,75.76,16.125625,4.1,0.01,0.01,310.9
92,122.57,147.16,0.01,4.6,0.01,100.0,282.79,3.272,2.8,0.01,0.01,210.0
93,188.18,560.37,0.01,3.0,-0.72,18.6,407.65,16.8128571429,4.6,0.01,0.01,161.14
94,192.23,365.37,-0.96,0.9,0.01,100.0,444.24,2.07984848485,1.0,0.01,-1.14,382.13
95,338.9,186.53,0.3,2.95,0.3,8.8,356.93,10.789375,3.3,0.2,0.2,221.65
98,316.69,214.89,0.01,4.6,0.01,200.0,158.84,4.12526315789,3.0,0.01,0.01,130.21
99,233.24,525.65,0.04,1.8,0.01,200.0,782.67,3.38736842105,1.5,0.01,0.01,349.05
106,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
107,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
112,122.49,87.59,1.3,2.8,0.09,100.0,90.83,10.1289655172,3.0,0.14,0.1,101.6
113,60.09,179.55,0.03,5.6,0.1,8.0,71.37,8.0595,3.6,0.01,0.06,273.69
118,435.49,537.64,0.01,2.8,0.01,100.0,565.4,5.07131147541,2.8,0.01,-3.6,949.61
119,399.13,456.89,0.2,3.0,-3.42,100.0,148.36,14.19,4.0,0.0,0.2,812.05
122,152.2,219.17,0.01,4.0,0.01,200.0,716.07,6.58,4.0,0.07,-0.48,446.7
123,180.17,218.05,0.02,4.4,0.1,100.0,383.96,7.96622222222,2.815,0.2,0.5,283.08
124,105.31,247.05,0.01,4.0,0.0,100.0,168.81,4.51952380952,2.55,0.02,0.01,128.3
125,284.25,134.44,-4.2,3.0,0.01,60.9,60.95,15.9482352941,3.05,0.01,0.01,204.84
126,252.5,319.02,0.01,2.0,0.01,12.6,409.67,7.3476056338,2.25,-29.0,-3.18,531.07
127,440.44,486.49,0.01,3.0,0.0,100.0,458.65,8.18590909091,4.45,0.08,0.01,253.62
128,135.7,361.24,0.01,1.0,0.01,10.6,348.56,12.6619607843,0.04,0.01,0.01,133.76
129,520.82,953.2,0.45,3.925,0.5,100.0,1049.15,7.903875,3.3,0.03,0.5,780.1
130,408.27,282.37,0.01,3.5,0.01,150.0,192.88,4.50051282051,2.35,-0.3,0.01,590.31
131,288.28,328.3,0.01,3.0,0.01,500.0,735.75,4.46431818182,2.1,0.01,0.01,181.53
132,337.81,532.23,0.01,3.25,0.01,6.4,130.82,2.53128205128,3.1,0.01,0.01,146.38
133,254.11,167.54,0.2,1.03,0.3,30.0,66.21,7.0685,1.83,0.3,0.2,35.89
134,747.11,337.41,-1.14,3.35,-0.6,400.0,652.08,17.5790140845,3.5,0.01,0.05,1369.65
135,28.3,429.3,0.01,2.9,1.5,100.0,229.3,14.1667857143,1.95,1.3,-6.9,104.7
138,470.97,467.6,0.0,2.5,0.01,100.0,631.96,14.6646153846,2.5,0.01,0.01,467.13
139,568.19,242.69,0.09,3.5,0.05,100.0,618.63,8.09833333333,3.3,0.01,0.0,524.38
142,103.98,204.71,-0.78,7.0,0.01,10.0,98.92,11.8769230769,1.5,0.0,-1.02,327.12
143,88.45,272.03,-0.72,3.6,-3.36,100.0,300.21,8.86117647059,3.0,0.08,0.01,123.92
144,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
145,121.28,76.71,0.01,0.6,0.02,100.0,398.28,2.846875,0.715,0.03,-11.3,554.53
150,520.11,220.46,0.01,3.0,0.01,500.0,202.22,3.28545454545,3.6,-0.84,-0.72,994.78
151,160.77,350.3,0.01,2.0,0.01,100.0,220.2,7.03134615385,1.5,0.01,0.01,162.21
152,254.9,188.56,0.1,2.0,0.1,300.0,169.47,2.95706896552,3.05,-4.9,0.1,792.74
153,186.87,351.81,0.14,4.0,-4.0,300.0,226.83,17.9426666667,3.1,0.04,0.04,298.81
154,292.81,415.66,-5.5,2.6,-6.6,100.0,297.43,5.64470588235,2.6,0.01,0.01,606.13
155,191.98,431.79,0.07,2.9,0.05,100.0,234.07,4.2775,2.75,0.03,0.06,604.7
158,168.93,374.95,0.01,1.9,-11.0,100.0,248.35,2.70846153846,1.7,0.01,0.01,215.76
159,417.05,257.53,0.01,3.565,0.01,100.0,631.03,7.85661016949,3.0,0.01,-3.54,398.89
160,126.1,115.63,0.6,2.9,-0.9,29.8,112.55,3.27793103448,2.5,0.08,0.65,153.04
161,146.96,235.44,0.6,5.6,0.65,12.0,168.55,10.5390909091,3.1,0.1,0.4,540.65
162,262.87,456.79,-0.72,2.05,0.01,100.0,147.7,4.65690909091,3.0,-0.6,0.01,448.78
163,272.23,123.61,0.02,4.2,0.1,200.0,302.53,23.3076666667,2.5,0.02,0.03,209.72
164,262.15,107.0,0.01,4.0,0.4,10.2,147.5,3.44,2.8,0.0,0.2,512.96
165,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
168,263.67,665.09,0.9,3.4,0.1,100.0,156.16,8.40472727273,3.0,-0.96,0.6,653.45
169,393.38,573.06,0.01,3.5,0.01,200.0,171.96,3.04756756757,4.0,0.01,0.0,207.0
170,282.83,142.87,0.01,2.0,0.0,175.0,140.36,2.18720588235,1.8,-0.78,-0.96,172.47
171,157.58,303.89,0.02,2.25,0.0,100.0,550.46,6.27212765957,1.275,0.03,0.01,510.66
172,82.57,239.93,0.05,3.0,0.6,200.0,243.5,6.32173913043,3.0,0.6,0.5,45.8
173,49.8,51.9,11.7,14.7,3.0,9.5,241.3,15.35,4.0,3.0,0.5,29.1
174,614.52,153.78,0.03,2.0,-3.3,21.0,161.6,6.26905660377,2.0,-0.48,0.02,187.97
175,478.54,137.24,-3.36,3.9,-3.3,300.0,383.31,4.16740740741,4.1,0.01,-3.24,129.26
176,285.79,190.17,-3.54,2.5,-1.44,300.0,405.15,2.82446808511,3.0,0.1,0.01,295.21
177,502.84,238.0,0.6,4.6,1.0,30.0,401.81,20.62375,3.6,0.01,0.2,494.72
178,560.82,404.33,0.0,6.0,0.0,200.0,540.88,5.095,6.0,0.01,-9.0,805.85
179,91.4,314.13,0.6,3.25,0.8,8.8,190.03,4.32916666667,4.8,0.4,0.3,58.1
180,241.96,830.44,0.01,2.0,0.0,12.0,347.83,6.11897435897,1.8,0.0,0.0,187.23
181,375.18,385.69,0.1,3.1,0.01,100.0,378.4,12.7191489362,3.0,0.1,0.6,173.05
184,495.6,202.74,0.02,3.7,-1.02,26.5,180.67,2.97625,1.7,0.01,-1.02,129.65
185,360.11,177.67,0.03,2.5,0.03,300.0,187.31,8.71978723404,1.85,-3.12,0.01,168.35
186,289.56,253.06,0.01,1.2,-1.02,100.0,210.41,3.9225,2.4,-1.08,-0.6,117.07
187,648.71,658.39,-3.54,0.8,0.0,100.0,336.93,3.21549019608,0.675,0.01,0.0,412.78
188,99.41,136.26,-0.36,4.45,-0.3,100.0,316.52,10.9044117647,2.9,0.07,0.4,335.11
189,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
192,505.1,170.3,0.1,4.9,0.7,300.0,156.0,4.4225,5.1,0.1,0.6,471.02
193,644.4,326.72,0.05,4.2,0.02,10.8,157.78,4.21739130435,4.6,0.1,0.1,173.56
194,80.68,337.13,0.04,4.55,0.01,12.0,262.81,22.7127777778,4.8,0.06,0.1,301.02
195,61.61,46.4,0.01,5.0,0.04,100.0,145.91,13.3258333333,1.7,0.07,0.09,372.39
196,464.32,674.03,-3.54,2.2,0.0,200.0,475.32,8.5168627451,2.2,-3.54,0.01,697.28
197,87.28,287.33,0.01,1.4,0.01,100.0,241.89,4.34644444444,1.0,0.01,0.01,164.89
198,83.49,337.7,0.5,4.95,0.5,200.0,116.4,5.646875,4.3,2.0,1.5,346.61
199,248.6,87.19,0.01,4.0,0.09,30.0,61.7,6.68571428571,7.65,0.07,0.73,66.29
206,368.09,402.94,0.02,2.0,0.02,13.3,82.34,11.1568571429,3.0,0.01,0.0,132.49
207,139.2,141.8,0.4,5.8,0.6,10.0,131.71,16.3077777778,4.7,1.6,0.5,47.3
208,210.36,418.41,0.01,3.515,0.01,70.0,213.73,3.54448275862,1.965,0.01,0.02,187.29
209,135.79,649.29,-6.0,1.0,0.01,100.0,227.51,5.04152542373,2.5,-8.0,-7.0,276.28
210,419.58,568.45,0.0,2.8,0.01,200.0,247.36,8.87428571429,3.25,0.01,0.01,632.69
211,320.72,235.45,0.6,2.8,0.2,100.0,236.89,7.28608695652,2.0,0.01,-3.3,95.43
212,473.83,424.88,0.01,4.0,0.01,14.0,422.92,8.36575,4.0,0.01,0.02,712.58
213,404.33,121.3,0.01,3.0,-2.66,12.6,373.3,9.79166666667,3.0,0.6,0.01,278.51
216,755.31,185.66,0.01,3.0,0.01,92.0,209.68,10.976557377,3.4,0.01,0.01,222.18
217,164.43,132.43,0.01,0.7,0.01,400.0,104.67,4.67176470588,3.3,-0.12,-1.14,165.42
220,441.56,220.01,-10.6,4.0,0.01,100.0,183.92,10.2078378378,4.0,-3.5,0.01,161.61
221,12.3,5.6,0.0,3.1,5.6,4.5,6.6,0.0,2.75,0.0,4.6,0.0
222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
223,286.21,119.8,-0.36,1.9,0.01,100.0,197.1,6.2212244898,2.1,0.01,-0.66,394.73
224,138.82,236.35,0.3,1.85,0.1,50.0,29.86,6.9345,2.0,18.0,0.01,53.96
225,214.06,134.34,0.05,1.0,0.01,20.0,8.11,6.51066666667,1.8,0.01,0.03,153.59
226,272.0,790.3,0.1,3.8,0.1,18.4,299.96,3.67333333333,3.55,0.01,0.5,104.81
227,349.47,400.34,0.06,3.0,-2.94,120.0,302.94,4.97837837838,3.265,0.01,-3.54,280.22
230,322.97,274.64,0.0,2.6,-3.7,300.0,687.75,7.52024096386,1.7,0.14,-0.42,532.28
231,404.04,842.8,-3.18,2.6,-2.34,200.0,617.26,12.6306666667,2.85,-3.54,0.01,475.91
232,75.9,201.69,0.03,4.8,0.03,100.0,196.7,4.22407407407,3.8,0.1,-1.14,158.7
233,226.21,239.57,0.28,5.2,0.01,100.0,107.78,3.31736842105,3.9,0.17,0.12,209.19
236,357.59,145.34,0.05,3.25,-1.14,100.0,575.29,6.83279069767,3.1,0.05,0.03,201.1
237,318.3,139.95,0.1,3.3,0.1,100.0,218.24,11.94,4.5,1.5,0.15,439.1
238,240.36,252.97,-1.02,3.25,0.02,200.0,127.75,30.3278947368,2.5,-1.14,-5.66,593.82
239,249.49,424.12,0.01,4.6,0.08,30.0,323.73,15.5244186047,3.55,0.1,0.07,539.82
240,513.37,853.95,0.08,2.4,0.01,200.0,852.01,5.04070175439,3.265,0.01,0.08,562.13
241,263.48,147.72,0.01,3.5,0.01,14.4,143.56,6.71555555556,4.55,0.0,0.01,202.15
242,144.49,244.03,0.7,2.95,0.1,200.0,129.93,20.0,3.6,-3.54,0.01,175.99
243,99.93,108.8,0.01,2.25,0.01,100.0,304.28,5.13735294118,1.6,0.01,0.0,92.22
244,435.67,150.52,-3.12,1.4,0.01,8.1,144.41,3.0,1.85,-0.6,0.01,183.05
245,37.16,37.11,0.01,5.2,0.01,14.6,61.17,12.36,0.105,0.01,0.01,25.49
246,462.44,362.29,0.01,2.3,0.01,50.0,280.4,3.51236363636,2.7,0.0,0.01,244.12
247,77.3,92.06,0.15,4.0,0.02,90.0,58.9,4.52857142857,6.15,0.4,0.16,42.48
248,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
249,242.19,189.3,-0.6,1.8,-0.24,200.0,91.05,5.63698113208,1.6,-5.5,0.01,325.46
252,220.91,220.99,-0.78,2.2,-1.14,100.0,158.23,9.78177777778,1.3,-0.9,-0.54,159.36
253,157.79,319.36,-3.42,4.1,0.01,100.0,176.18,9.45708333333,1.5,0.01,0.01,393.32
254,389.34,307.65,-0.42,2.8,-1.14,100.0,221.85,9.60404761905,4.5,0.08,-15.66,346.73
255,405.11,171.88,0.08,1.5,-1.44,100.0,223.13,8.41756756757,2.9,0.0,0.01,330.47
256,174.5,272.58,0.02,3.25,0.08,20.2,370.1,4.26,3.5,0.02,-1.02,324.01
257,266.3,182.34,0.01,0.8,-0.42,100.0,923.06,9.22333333333,2.5,-0.96,0.01,184.03
258,77.72,206.31,-1.02,1.0,-0.9,100.0,321.39,3.8196875,2.05,0.02,0.03,575.03
259,212.2,168.03,-3.42,0.145,0.01,100.0,174.13,6.17821428571,1.0,0.0,0.02,81.73
262,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
263,505.66,174.2,-4.55,1.0,0.01,100.0,153.45,5.06595238095,2.4,0.01,0.01,458.31
264,620.9,163.34,-3.12,2.5,0.03,100.0,543.45,15.5567741935,2.5,0.04,0.35,161.58
265,209.15,437.9,0.0,4.0,0.01,100.0,102.49,3.54484848485,3.0,0.02,-3.54,156.51
266,114.13,33.85,0.1,1.2,0.02,100.0,4.72,3.301,0.6,2.6,0.01,54.83
267,337.59,302.03,0.01,2.75,-1.08,30.0,196.32,4.77510638298,2.0,-0.24,0.01,134.73
280,330.06,121.1,0.01,1.0,0.01,150.0,844.04,2.88132352941,0.6,0.01,0.01,147.28
281,521.83,306.62,0.01,3.0,0.01,200.0,238.43,4.878,3.6,0.01,0.01,484.2
282,434.54,676.74,-15.66,5.0,-0.6,100.0,494.81,15.5359322034,5.65,0.7,0.3,282.96
283,524.1,158.83,0.01,5.0,-3.54,21.5,695.91,13.7585714286,5.8,0.01,-10.6,140.85
284,122.34,362.02,0.01,1.5,-18.0,200.0,921.91,9.70711538462,1.2,0.08,0.02,356.91
285,129.8,400.44,0.01,2.8,0.01,200.0,218.9,2.95512820513,2.45,0.17,0.01,391.81
288,408.15,467.15,-1.2,3.5,-1.14,17.9,221.72,8.88806451613,2.5,-1.14,-1.14,348.88
289,753.33,296.67,-1.02,4.6,-3.54,300.0,334.0,12.6656521739,5.0,-3.54,-1.08,846.0
292,354.28,457.22,0.01,2.7,0.01,10.6,209.42,3.62977272727,1.3,0.01,0.0,165.81
293,450.32,74.14,0.01,2.75,-3.48,50.0,467.32,2.90375,4.55,-3.48,-3.48,232.72
294,640.43,553.21,0.01,3.0,0.01,100.0,258.83,14.9882926829,3.8,-1.14,-1.08,262.21
295,150.93,176.57,0.01,4.95,0.01,17.6,101.6,9.01107142857,5.0,0.6,1.0,279.31
296,365.96,203.22,-1.08,2.15,-1.08,11.5,611.54,3.0498245614,1.715,-1.14,0.01,205.54
297,492.03,425.51,0.01,3.5,-3.54,100.0,460.12,7.91860465116,4.1,-0.12,-3.36,358.5
300,582.74,740.79,0.01,4.8,-11.1,100.0,573.9,16.8826153846,4.0,0.02,-5.1,688.13
301,526.0,267.2,-5.0,5.6,0.02,200.0,610.03,10.4145833333,4.55,-3.54,0.02,779.68
302,875.92,1087.63,0.1,2.5,0.1,100.0,304.79,3.91828125,4.03,0.0,0.1,476.58
303,294.47,489.02,0.01,3.4,0.01,200.0,396.05,6.10465116279,4.5,0.01,0.01,362.77
306,238.99,31.7,0.01,2.15,1.0,50.0,24.1,11.7675,3.915,0.6,0.1,173.92
307,151.7,65.9,-3.36,3.95,0.5,200.0,369.9,4.70666666667,2.0,0.35,0.35,54.95
314,316.9,239.76,-0.66,3.3,-0.78,100.0,197.42,5.2962,3.0,0.01,-0.84,369.69
315,104.48,735.18,0.01,3.2,0.01,8.0,358.61,3.64822222222,2.83,-0.9,0.01,203.67
316,77.48,169.5,0.7,6.8,0.5,1.2,156.41,8.86666666667,0.845,0.6,0.01,14.0
317,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
322,430.29,701.55,0.0,5.0,0.01,100.0,541.11,7.03457142857,5.0,0.17,0.13,270.8
323,559.84,670.56,0.0,5.0,-2.5,100.0,452.69,4.94363636364,4.6,0.01,0.01,1023.59
326,370.91,517.25,0.9,4.4,-1.02,15.8,233.76,14.3206521739,3.6,0.01,0.08,371.12
327,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
330,647.9,163.05,-3.54,3.2,-4.4,49.99,201.86,3.78511111111,3.2,-0.96,0.08,218.2
331,345.15,292.98,-4.55,3.6,-0.3,200.0,116.32,7.4480952381,3.6,0.01,-2.34,105.5
332,534.25,148.2,-3.0,4.2,1.8,300.0,359.6,16.9562222222,4.05,0.5,0.03,413.77
333,212.68,109.52,0.05,4.3,0.01,100.0,228.16,4.18304347826,4.15,-0.84,0.02,271.87
336,547.18,436.78,0.01,1.9,0.04,200.0,242.2,5.86539473684,1.7,0.03,-3.06,357.73
337,86.92,394.45,0.7,4.5,0.15,100.0,332.71,10.3439393939,4.7,1.0,0.01,390.2
338,272.7,610.98,0.01,3.0,0.01,200.0,355.91,9.78186046512,5.1,0.0,-8.0,271.23
339,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
340,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
341,220.01,687.92,-2.46,2.9,0.01,10.0,635.78,4.54193548387,2.0,0.01,0.01,117.89
342,342.45,188.79,0.02,2.0,0.0,100.0,157.57,3.37625,2.515,0.35,0.03,248.32
343,122.85,52.88,-2.22,2.0,-2.34,12.0,58.22,6.96210526316,1.2,-2.34,-2.4,140.87
346,384.01,2007.24,0.01,4.3,0.17,200.0,550.42,17.8116176471,5.0,0.01,0.01,605.23
347,252.78,881.7,0.01,4.3,0.0,47.8,745.0,8.97166666667,4.3,0.0,0.35,200.43
350,291.52,184.33,0.01,2.7,0.0,200.0,210.77,2.72260869565,1.85,-3.42,0.01,332.9
351,287.23,242.19,0.01,3.3,0.01,200.0,118.73,3.23787878788,2.1,0.03,0.01,86.18
352,145.83,322.34,0.0,3.0,-1.08,50.0,271.12,14.2437142857,2.8,-1.14,0.01,305.66
353,120.56,99.76,0.01,3.2,0.01,100.0,282.03,11.4834615385,3.0,0.01,0.01,869.58
354,818.92,332.15,0.17,2.4,0.01,200.0,427.14,6.2205,2.7,-1.08,0.01,716.23
355,344.83,531.93,0.01,3.0,0.01,11.5,413.38,3.78530612245,4.3,0.1,-1.14,206.79
356,1043.56,467.32,-0.6,1.8,-1.14,200.0,131.64,3.34490196078,1.8,-1.14,-1.14,340.54
357,47.01,100.09,0.01,5.0,0.2,5.6,78.93,3.28652173913,2.0,0.09,0.1,58.03
360,250.97,291.16,-1.08,4.0,-1.02,12.1,538.84,3.61787234043,4.0,-1.08,-0.12,170.67
361,583.63,210.75,-3.54,4.6,0.0,120.0,138.64,10.5542424242,4.5,0.0,0.01,162.09
364,191.65,462.94,-3.54,3.0,-0.6,100.0,238.22,8.49565217391,4.0,0.01,0.01,433.5
365,237.53,252.06,0.01,3.6,-0.06,200.0,583.34,9.15161290323,3.6,-3.24,0.01,886.04
366,155.47,299.4,2.0,4.0,1.8,100.0,158.98,4.82777777778,4.0,0.3,0.3,149.59
367,41.2,42.4,0.7,6.3,2.8,300.0,298.6,12.9076923077,5.1,0.3,1.1,90.6
368,82.55,92.5,-1.2,4.0,0.05,6.1,32.25,19.5916666667,3.4,0.01,0.01,258.3
369,121.5,58.8,2.0,6.0,0.02,100.0,80.5,20.5,2.0,1.0,0.02,37.4
370,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
371,229.97,296.16,-1.26,2.85,0.01,14.5,806.63,12.7558490566,3.8,0.02,0.13,638.4
372,275.64,74.19,0.08,1.3,0.07,100.0,378.82,2.71476190476,1.4,0.01,0.01,41.6
373,165.91,136.24,0.01,2.0,0.01,50.0,107.68,2.5875,3.8,0.02,-2.82,63.98
374,339.1,271.91,0.01,2.6,0.01,200.0,225.99,2.08428571429,1.3,-0.48,-0.48,574.43
375,519.28,154.61,0.01,3.9,0.01,10.0,473.98,3.72433962264,3.8,0.01,0.01,377.38
378,113.13,545.57,-1.08,3.0,-1.08,41.9,472.03,12.4166666667,3.2,0.01,-0.78,214.41
379,269.46,146.62,0.01,2.33,-1.08,100.0,249.14,5.67902439024,2.5,0.01,0.02,90.33
380,551.41,425.11,0.01,2.4,0.01,100.0,141.55,3.89135135135,2.4,0.01,0.01,176.06
