id,HourofDay17_count,HourofDay12_count,HourofDay9_count,HourofDay16_count,HourofDay11_count,HourofDay11_mean,HourofDay23_min,HourofDay18_mean,HourofDay15_sum,HourofDay7_sum,HourofDay8_median,HourofDay17_mean
86,191.0,141.0,29.0,94.0,217.0,11.0242857143,0.01,4.12073394495,494.0,740.25,2.0,7.96303664921
87,0.0,0.0,0.0,0.0,2.0,6.35,0.0,5.1,0.0,21.6,0.0,0.0
88,325.0,147.0,4.0,28.0,348.0,12.8829310345,0.36,4.22931372549,216.79,196.51,2.3,9.68018461538
89,167.0,59.0,3.0,16.0,189.0,10.314021164,0.15,4.2224137931,29.8,59.5,3.4,9.30904191617
92,284.0,54.0,4.0,36.0,206.0,8.85131067961,0.01,4.725,364.95,9.01,2.2,7.89950704225
93,276.0,146.0,23.0,39.0,188.0,14.9358510638,0.01,4.52293650794,83.95,19.65,2.3,5.39188405797
94,263.0,231.0,112.0,47.0,201.0,8.33691542289,-1.14,3.33098039216,243.72,353.31,2.5,6.41798479087
95,300.0,172.0,13.0,41.0,256.0,4.032421875,0.0,12.4134951456,134.3,85.02,2.2,5.55216666667
98,440.0,57.0,21.0,48.0,409.0,7.01376528117,0.01,5.8108,20.03,14.9,2.4,6.11625
99,347.0,162.0,16.0,51.0,180.0,7.6285,0.01,5.85440860215,322.63,26.1,2.5,6.58847262248
106,9.0,4.0,1.0,4.0,2.0,3.75,0.0,11.0,145.6,5.03,3.4,37.5222222222
107,2.0,1.0,0.0,3.0,1.0,7.1,0.4,3.622,0.0,0.0,2.55,7.15
112,233.0,42.0,7.0,22.0,259.0,7.78254826255,0.01,13.43,172.8,29.9,3.0,9.04901287554
113,168.0,22.0,15.0,14.0,134.0,8.46888059701,0.03,26.7533333333,9.66,143.3,1.8,7.22577380952
118,381.0,79.0,54.0,50.0,393.0,10.8380152672,0.01,10.002,535.92,19.2,3.0,8.35307086614
119,252.0,53.0,42.0,26.0,229.0,11.2779912664,0.02,16.8367647059,246.57,69.15,2.13,14.3666666667
122,404.0,141.0,19.0,33.0,325.0,9.81953846154,0.1,5.38757575758,496.78,32.26,2.7,9.51712871287
123,256.0,283.0,118.0,54.0,214.0,3.70429906542,0.08,5.67275,45.28,82.1,2.4,7.1215234375
124,55.0,81.0,19.0,57.0,60.0,23.3906666667,0.0,7.89168831169,294.52,110.77,3.0,14.6529090909
125,87.0,41.0,29.0,43.0,106.0,8.53481132075,-3.54,10.0684210526,45.61,315.11,3.0,4.32540229885
126,294.0,149.0,40.0,56.0,312.0,10.0867628205,0.01,6.58459016393,115.12,253.44,1.6,10.1651360544
127,191.0,177.0,27.0,43.0,270.0,9.60051851852,0.08,5.55864864865,456.62,322.58,3.0,7.91654450262
128,170.0,183.0,115.0,74.0,142.0,12.3433098592,0.01,5.43486111111,18.14,110.75,2.5,10.4331176471
129,672.0,157.0,86.0,114.0,554.0,9.57317689531,0.02,17.7873015873,149.3,251.32,2.2,7.72805059524
130,389.0,174.0,4.0,119.0,427.0,9.30655737705,0.01,9.92820754717,67.1,134.64,5.3,7.87077120823
131,294.0,191.0,39.0,43.0,231.0,6.41844155844,0.1,10.3926946108,159.51,535.77,1.3,3.68367346939
132,277.0,156.0,24.0,22.0,234.0,11.5232051282,0.01,5.43610062893,34.1,158.6,1.15,4.59292418773
133,83.0,108.0,32.0,5.0,76.0,8.13328947368,0.06,7.43208955224,6.3,76.82,1.63,4.62530120482
134,375.0,245.0,144.0,44.0,345.0,13.1715942029,-1.02,9.68352657005,226.39,181.01,2.6,7.86074666667
135,65.0,134.0,37.0,61.0,96.0,11.6485416667,-3.18,6.24676056338,207.03,26.48,3.0,12.6523076923
138,321.0,87.0,78.0,74.0,300.0,8.8183,0.01,5.60651515152,169.39,34.83,2.5,9.24996884735
139,218.0,50.0,23.0,44.0,329.0,12.9510638298,0.02,10.7986046512,114.16,35.0,2.5,8.67348623853
142,94.0,55.0,18.0,26.0,116.0,15.5196551724,-0.78,5.961875,227.79,19.71,3.0,5.77212765957
143,127.0,136.0,44.0,43.0,197.0,8.77076142132,-3.36,5.77050847458,141.4,85.31,2.85,7.11448818898
144,4.0,7.0,3.0,0.0,1.0,0.0,0.3,2.9,0.0,0.0,1.8,3.58
145,73.0,92.0,17.0,20.0,81.0,13.1560493827,0.01,6.29277777778,86.76,230.12,0.8,9.44671232877
150,127.0,354.0,35.0,60.0,167.0,10.6477245509,-0.84,4.58209302326,56.32,481.66,3.0,7.34976377953
151,150.0,206.0,98.0,56.0,154.0,7.05603896104,-3.42,4.57128571429,300.47,134.45,1.6,6.86453333333
152,667.0,113.0,23.0,17.0,446.0,10.1287443946,0.01,6.26444444444,44.59,37.59,2.515,7.74325337331
153,636.0,83.0,20.0,12.0,441.0,8.91031746032,0.1,4.17948717949,603.13,15.23,2.9,9.21877358491
154,642.0,142.0,14.0,84.0,539.0,7.33515769944,0.01,5.29326530612,33.71,35.72,1.8,7.1258411215
155,553.0,102.0,30.0,35.0,494.0,9.58692307692,0.03,6.01535714286,114.48,27.83,1.75,6.31014466546
158,96.0,123.0,102.0,33.0,137.0,10.9043065693,0.01,5.15104166667,20.25,0.02,1.4,11.7636458333
159,125.0,319.0,140.0,78.0,141.0,5.43163120567,-3.3,7.27641666667,76.02,13.56,4.0,9.53872
160,304.0,51.0,19.0,28.0,135.0,8.91703703704,-0.96,16.023943662,318.3,49.64,2.1,7.01723684211
161,398.0,68.0,9.0,21.0,93.0,4.45268817204,0.4,17.1797413793,12.44,13.23,3.15,9.99663316583
162,291.0,139.0,52.0,57.0,249.0,6.88381526104,0.01,5.02072164948,241.78,93.63,1.2,7.05852233677
163,193.0,116.0,34.0,35.0,148.0,5.67209459459,0.17,12.7909210526,515.16,6.85,2.0,7.83316062176
164,145.0,98.0,16.0,72.0,150.0,8.24226666667,0.01,8.72673913043,53.3,148.89,3.8,11.0764827586
165,2.0,0.0,0.0,3.0,3.0,2.16666666667,0.0,5.15,0.01,1.0,2.4,5.25
168,567.0,181.0,54.0,16.0,430.0,11.3999069767,-3.54,6.686,141.2,110.93,2.53,9.91776014109
169,243.0,151.0,10.0,9.0,236.0,10.3703813559,-0.3,7.57234042553,6.16,221.54,2.8,6.92666666667
170,64.0,235.0,49.0,44.0,205.0,6.99687804878,-0.9,8.23516666667,129.31,686.6,1.0,11.7396875
171,199.0,169.0,38.0,46.0,221.0,5.54778280543,0.08,6.07054054054,250.23,336.06,3.0,5.27969849246
172,93.0,105.0,5.0,25.0,77.0,10.7181818182,0.4,7.58823529412,442.9,68.86,2.1,13.6548387097
173,30.0,14.0,1.0,9.0,18.0,13.0722222222,0.5,10.2294117647,1.3,11.2,0.0,15.44
174,279.0,308.0,174.0,37.0,183.0,4.94098360656,0.01,8.3054587156,202.36,14.55,2.2,4.77125448029
175,128.0,188.0,46.0,92.0,111.0,9.17603603604,-3.3,6.7098540146,97.01,141.5,3.1,5.545703125
176,255.0,138.0,47.0,56.0,318.0,7.94352201258,-1.08,6.69016393443,402.02,273.61,3.8,3.86745098039
177,257.0,104.0,21.0,40.0,178.0,13.685,0.01,4.5001459854,532.5,78.6,2.2,10.786536965
178,251.0,65.0,41.0,67.0,371.0,12.6584636119,0.01,14.0561702128,23.32,29.76,2.5,10.8683266932
179,69.0,36.0,7.0,19.0,145.0,10.971862069,0.2,5.57625,257.1,37.82,2.0,10.4817391304
180,134.0,137.0,32.0,56.0,189.0,8.43941798942,0.01,3.73526315789,345.52,177.76,1.8,7.49880597015
181,394.0,157.0,35.0,53.0,359.0,8.65596100279,0.1,5.84852459016,11.0,182.6,3.0,7.23758883249
184,166.0,134.0,45.0,65.0,205.0,7.03029268293,-1.08,4.175625,593.74,149.38,3.2,5.95620481928
185,232.0,223.0,55.0,35.0,182.0,7.55873626374,0.01,9.03960227273,50.9,186.23,2.0,7.84879310345
186,251.0,54.0,41.0,20.0,264.0,12.0953787879,-0.9,2.94375,108.36,176.17,1.1,10.2778884462
187,531.0,236.0,133.0,25.0,462.0,6.05935064935,0.01,8.98743589744,33.48,169.46,0.8,6.87764595104
188,309.0,175.0,19.0,89.0,168.0,14.4721428571,0.01,4.4764516129,367.06,38.25,3.0,6.31313915858
189,1.0,0.0,0.0,1.0,2.0,8.25,0.0,0.0,803.0,0.0,0.0,5.5
192,344.0,68.0,6.0,7.0,242.0,9.95723140496,0.03,5.41428571429,50.0,7.6,1.63,11.5035755814
193,255.0,87.0,32.0,12.0,237.0,10.0108016878,0.3,15.1409876543,34.61,168.97,2.5,9.22549019608
194,243.0,67.0,8.0,7.0,348.0,12.6633908046,0.01,12.8333333333,2.5,0.05,2.765,9.45580246914
195,169.0,67.0,9.0,19.0,144.0,9.36006944444,0.01,14.6020689655,3.4,0.0,1.065,12.8064497041
196,251.0,248.0,87.0,70.0,212.0,12.9181603774,-3.54,4.91569620253,743.96,17.08,0.8,9.9684063745
197,140.0,204.0,83.0,58.0,136.0,10.4932352941,0.05,3.6486259542,87.26,429.92,0.8,7.31035714286
198,132.0,26.0,6.0,47.0,59.0,19.5357627119,0.1,11.2215517241,53.0,0.0,2.4,12.5162878788
199,110.0,36.0,5.0,42.0,32.0,8.045625,0.02,22.9342857143,83.39,17.79,2.315,18.6971818182
206,339.0,53.0,6.0,26.0,77.0,5.42298701299,0.01,5.07636363636,122.13,181.91,3.0,8.68495575221
207,183.0,1.0,1.0,8.0,6.0,22.2166666667,0.02,6.22924528302,8.9,37.63,3.8,11.3643169399
208,208.0,240.0,34.0,39.0,128.0,12.145703125,0.01,5.352,48.86,272.74,2.43,7.69961538462
209,299.0,119.0,27.0,66.0,217.0,7.75193548387,0.3,5.77370517928,9.15,67.36,1.8,5.14598662207
210,211.0,184.0,38.0,74.0,154.0,7.91772727273,0.01,7.82354679803,545.42,213.9,2.95,9.53161137441
211,196.0,218.0,30.0,51.0,201.0,11.8126368159,0.01,4.18751724138,162.43,48.07,1.6,6.50306122449
212,289.0,127.0,15.0,35.0,200.0,13.02595,0.01,4.97,59.4,1.01,3.3,15.5684775087
213,207.0,87.0,24.0,21.0,126.0,14.8285714286,0.01,5.83140243902,42.35,10.7,3.5,12.4055072464
216,357.0,146.0,42.0,41.0,335.0,17.0771343284,0.01,10.968671875,106.54,115.83,3.1,5.10380952381
217,175.0,65.0,53.0,35.0,140.0,14.2007857143,-3.48,5.25803921569,410.81,83.4,0.45,7.69428571429
220,170.0,230.0,9.0,38.0,159.0,10.511572327,0.01,3.22176136364,44.71,25.5,2.2,6.50770588235
221,14.0,30.0,3.0,8.0,12.0,10.4066666667,0.0,4.86,0.0,0.0,5.5,3.30571428571
222,9.0,1.0,0.0,5.0,9.0,4.32222222222,0.0,4.95,0.0,1.0,1.8,5.33333333333
223,147.0,155.0,78.0,65.0,186.0,8.6211827957,-0.96,6.13972222222,17.3,157.4,2.4,3.78802721088
224,75.0,29.0,16.0,9.0,126.0,5.40174603175,0.0,6.82119047619,97.2,140.06,0.015,5.362
225,51.0,26.0,8.0,22.0,124.0,8.96612903226,0.01,7.554375,41.31,131.87,2.6,4.58196078431
226,69.0,79.0,10.0,34.0,94.0,5.50595744681,0.1,13.7277777778,58.9,124.18,2.8,21.0231884058
227,167.0,178.0,18.0,39.0,157.0,9.17630573248,0.0,5.42764705882,154.47,308.05,3.0,6.3848502994
230,762.0,160.0,65.0,57.0,730.0,6.91289041096,-1.14,3.05888157895,354.71,32.46,2.59,5.15569553806
231,565.0,104.0,46.0,58.0,597.0,8.58164154104,0.01,3.7837037037,276.24,7.02,2.6,6.20283185841
232,216.0,82.0,18.0,62.0,89.0,7.63898876404,-1.02,9.80798245614,671.65,22.51,1.5,7.3975
233,278.0,48.0,5.0,63.0,60.0,8.70383333333,0.01,7.85509615385,596.39,8.24,0.7,6.35741007194
236,532.0,64.0,18.0,53.0,219.0,9.17853881279,-1.02,15.3405970149,20.64,15.7,6.1,7.54441729323
237,381.0,59.0,2.0,33.0,329.0,6.26920972644,-3.48,28.6732653061,76.13,0.0,3.1,7.96220472441
238,209.0,141.0,40.0,81.0,259.0,15.4728957529,-1.14,5.48637681159,88.67,22.61,2.7,8.15636363636
239,276.0,139.0,26.0,49.0,193.0,10.3418134715,-3.12,3.87703448276,316.15,36.66,1.0,10.1998550725
240,414.0,254.0,31.0,41.0,433.0,10.4010161663,0.1,3.56742222222,569.76,105.52,1.26,4.93746376812
241,210.0,65.0,11.0,80.0,76.0,8.49184210526,0.01,5.02873786408,141.24,109.94,3.4,9.92780952381
242,138.0,49.0,30.0,28.0,181.0,10.6514364641,-0.96,5.95,34.36,59.3,3.3,15.4702898551
243,111.0,190.0,37.0,53.0,151.0,9.02774834437,0.01,5.0580239521,27.41,140.53,1.45,3.67864864865
244,92.0,117.0,42.0,58.0,66.0,9.73727272727,-3.24,4.99607843137,46.71,43.64,0.9,6.35304347826
245,23.0,19.0,34.0,27.0,43.0,19.0304651163,0.01,4.1019047619,292.24,13.44,2.0,4.12869565217
246,193.0,214.0,22.0,33.0,190.0,11.0391578947,0.01,10.6276870748,53.12,281.66,1.0,5.22336787565
247,80.0,47.0,29.0,40.0,89.0,9.29101123596,0.02,4.3412037037,286.04,6.86,2.5,7.690625
248,7.0,5.0,0.0,2.0,1.0,10.3,0.0,0.0,0.08,0.0,0.0,4.54
249,171.0,159.0,76.0,68.0,204.0,10.9424019608,0.01,2.55779411765,41.52,227.75,1.2,6.70701754386
252,177.0,118.0,44.0,75.0,163.0,13.8493865031,-0.78,3.40710280374,136.5,32.51,1.1,8.03378531073
253,254.0,287.0,29.0,46.0,241.0,7.7967219917,0.01,4.65311594203,120.46,187.66,1.2,8.08511811024
254,492.0,110.0,20.0,91.0,201.0,6.58258706468,-1.08,3.67647887324,645.18,53.37,1.0,4.62727642276
255,352.0,129.0,41.0,74.0,192.0,8.03541666667,0.02,4.53051282051,240.83,26.03,2.0,5.5434375
256,268.0,284.0,34.0,49.0,144.0,6.46013888889,0.01,8.75741035857,791.7,24.58,0.12,9.35391791045
257,124.0,259.0,90.0,97.0,166.0,7.91,0.03,15.0975806452,395.87,107.8,1.8,10.5414516129
258,121.0,98.0,28.0,64.0,110.0,17.1824545455,-1.02,5.68739130435,918.65,5.17,2.8,7.52595041322
259,65.0,58.0,24.0,52.0,59.0,8.26016949153,0.01,9.84270833333,504.24,18.28,1.3,7.89415384615
262,4.0,13.0,8.0,9.0,12.0,13.875,0.0,1.0,30.0,0.0,1.0,4.85
263,68.0,204.0,34.0,45.0,107.0,11.7718691589,0.01,6.31231707317,377.78,293.39,2.3,5.22029411765
264,63.0,76.0,42.0,15.0,119.0,12.8255462185,0.03,8.67131147541,31.42,50.02,1.63,6.9453968254
265,338.0,97.0,13.0,74.0,204.0,6.96460784314,0.01,11.3558823529,60.33,34.82,3.0,7.33721893491
266,43.0,35.0,12.0,20.0,34.0,9.21264705882,0.1,3.13535714286,423.02,7.91,1.4,12.0872093023
267,169.0,187.0,79.0,41.0,153.0,7.67444444444,-2.1,8.99639344262,74.92,10.74,1.6,5.4473964497
280,200.0,310.0,46.0,97.0,238.0,4.30390756303,0.01,2.98162650602,719.98,254.99,0.83,6.9827
281,259.0,217.0,11.0,54.0,310.0,8.9224516129,0.01,4.99756183746,156.64,402.07,2.9,8.01432432432
282,569.0,56.0,19.0,123.0,217.0,13.9965437788,0.01,13.4088888889,588.47,430.02,3.6,19.4261511424
283,187.0,18.0,7.0,56.0,55.0,17.3309090909,0.01,19.6,752.93,116.25,4.6,10.0688770053
284,198.0,206.0,46.0,56.0,198.0,9.46762626263,0.1,8.62419689119,260.32,390.48,1.0,9.04464646465
285,294.0,114.0,17.0,29.0,328.0,9.52137195122,0.01,3.8676056338,25.53,74.7,2.8,6.90465986395
288,805.0,82.0,19.0,88.0,307.0,9.73068403909,-1.2,2.68039735099,96.24,50.24,3.4,6.72557763975
289,690.0,102.0,8.0,94.0,286.0,17.6134615385,-1.08,3.30611111111,103.13,0.0,3.4,8.81934782609
292,184.0,190.0,33.0,48.0,128.0,12.6996875,-3.54,7.73564935065,601.66,206.42,3.0,5.58076086957
293,141.0,97.0,18.0,52.0,72.0,10.7943055556,-3.48,7.38984615385,532.13,4.63,3.3,7.66595744681
294,326.0,78.0,68.0,31.0,274.0,10.6762773723,0.01,12.0092307692,756.56,238.33,3.0,7.18266871166
295,173.0,74.0,23.0,44.0,232.0,10.7544827586,0.01,4.247,348.52,396.88,2.5,6.60867052023
296,300.0,136.0,112.0,71.0,311.0,9.17344051447,-1.08,8.92621621622,472.35,176.57,1.8,7.92583333333
297,240.0,168.0,120.0,30.0,244.0,8.49676229508,0.01,9.84209090909,216.53,214.63,2.0,5.84683333333
300,423.0,268.0,68.0,82.0,191.0,13.4097382199,-0.9,12.6331632653,1122.23,355.65,1.9,9.86361702128
301,334.0,209.0,44.0,60.0,188.0,12.7829787234,-0.12,12.6746820809,1584.4,84.85,3.075,10.3850299401
302,175.0,210.0,198.0,23.0,183.0,16.5603825137,0.1,14.1963541667,38.2,32.16,2.5,13.0694285714
303,169.0,147.0,63.0,49.0,172.0,8.00563953488,0.01,10.495862069,88.78,489.36,2.5,8.5173964497
306,30.0,24.0,30.0,38.0,64.0,4.87375,0.05,6.92777777778,705.06,31.46,1.95,2.984
307,134.0,57.0,28.0,46.0,179.0,10.511396648,0.0,3.97333333333,80.38,114.7,3.0,9.34104477612
314,208.0,285.0,31.0,50.0,115.0,12.0397391304,0.01,6.41842105263,56.08,11.42,1.6,7.51413461538
315,197.0,120.0,34.0,35.0,186.0,13.0123655914,-0.72,3.78023076923,137.54,530.02,3.3,6.53989847716
316,15.0,10.0,2.0,25.0,4.0,1.625,0.02,16.2330769231,182.74,14.4,15.65,8.26733333333
317,1.0,0.0,1.0,1.0,1.0,6.5,0.0,0.0,0.0,0.0,1.5,300.0
322,335.0,154.0,22.0,56.0,165.0,9.64666666667,0.01,8.50551546392,859.5,274.88,1.7,7.54779104478
323,469.0,205.0,14.0,31.0,313.0,7.36805111821,0.01,16.0387564767,159.05,5.8,2.0,5.86965884861
326,231.0,327.0,12.0,36.0,170.0,6.27523529412,-1.2,5.71032786885,12.98,549.09,4.7,4.74926406926
327,12.0,4.0,0.0,0.0,10.0,3.25,0.0,7.0,0.0,3.0,2.2,30.95
330,56.0,193.0,58.0,62.0,265.0,7.09633962264,-3.48,6.55373493976,152.59,177.25,2.2,8.38678571429
331,80.0,210.0,50.0,41.0,178.0,8.79887640449,0.01,11.5456578947,1210.46,73.5,2.9,10.175
332,357.0,128.0,30.0,56.0,363.0,10.1860330579,1.1,4.00650793651,73.99,20.9,2.5,8.88072829132
333,91.0,190.0,16.0,57.0,78.0,15.0361538462,0.03,5.48056818182,608.9,52.35,2.5,8.51164835165
336,128.0,280.0,255.0,57.0,103.0,12.1150485437,0.03,8.97601190476,692.08,30.53,1.5,10.2575
337,158.0,89.0,13.0,30.0,104.0,14.3178846154,1.2,5.9284375,308.0,155.63,3.0,6.13924050633
338,253.0,143.0,12.0,64.0,183.0,11.2957377049,0.01,5.90575757576,128.1,394.16,3.15,12.6015810277
339,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,500.0,0.0,0.0,7.4
340,3.0,6.0,1.0,0.0,7.0,21.4857142857,0.0,7.2,93.5,6.73,257.35,5.73333333333
341,142.0,163.0,17.0,30.0,122.0,9.87516393443,0.01,5.7943956044,26.68,387.5,3.1,10.1978873239
342,303.0,165.0,83.0,79.0,324.0,6.13675925926,0.02,8.78196078431,77.65,87.54,1.63,5.78237623762
343,56.0,82.0,28.0,45.0,51.0,8.5068627451,0.02,5.92842696629,147.86,34.26,1.9,3.60428571429
346,498.0,200.0,26.0,55.0,342.0,17.7550584795,0.01,11.5463265306,38.33,135.51,2.6,11.0639959839
347,407.0,135.0,32.0,33.0,277.0,14.7595306859,0.01,23.1701408451,324.56,105.13,2.4,11.1179361179
350,160.0,213.0,28.0,55.0,183.0,9.95978142077,0.01,3.26425925926,384.34,358.03,2.0,5.01575
351,86.0,219.0,16.0,42.0,119.0,9.26630252101,0.02,2.40427272727,50.96,114.53,1.8,3.14453488372
352,177.0,151.0,15.0,80.0,153.0,12.3498039216,-1.14,3.9150877193,531.51,39.16,2.95,11.326440678
353,134.0,62.0,22.0,31.0,116.0,12.664137931,0.01,6.13837209302,97.42,4.51,0.08,9.69582089552
